Close,ConnorsRsi
318.60,
315.84,
316.15,
310.57,
307.78,
305.82,
305.99,
306.39,
311.45,
312.33,
309.29,
301.91,
300.00,
300.03,
302.00,
307.82,
302.69,
306.49,
305.55,
303.43,
309.06,
308.90,
309.91,
314.55,
312.90,
318.69,
315.53,
316.35,
320.37,
318.93,
317.64,
314.86,
308.30,
305.23,
309.87,
310.42,
311.30,
311.90,
310.95,
309.17,
307.33,
311.52,
310.57,
311.86,
308.51,
308.43,
312.97,
308.48,
307.21,
309.89,
313.74,
310.79,
309.63,
308.18,
308.24,
302.72,
303.16,
303.07,
304.02,
304.66,
305.18,
304.62,
307.75,
312.45,
316.97,
311.12,
311.37,
304.82,
303.63,
302.88,
305.33,
297.88,
302.01,
293.51,
301.06,
303.85,
299.73,
298.37,
298.92,
302.14,
302.32,
305.30,
305.08,
308.77,
310.31,
309.07,
310.39,
312.51,
312.62,
313.70,
314.55,
318.05,
319.74,
323.79,
324.63,
323.09,
323.82,
324.33,
326.05,
324.34,
320.53,
326.23,
328.55,
330.17,
325.86,49.85
323.22,36.83
320.00,30.16
323.88,32.00
326.14,39.68
324.87,58.39
322.99,84.28
322.64,44.95
322.49,21.62
323.53,15.00
323.75,43.06
327.39,54.77
329.76,75.11
330.39,38.06
329.13,66.57
323.11,53.16
320.20,38.41
319.02,58.58
320.60,37.73
322.19,53.00
321.08,67.40
323.12,54.96
329.48,72.42
328.58,42.05
333.41,67.86
335.42,85.09
335.95,42.51
335.29,54.35
333.60,38.22
336.39,23.20
335.90,16.27
339.82,50.23
338.31,72.05
338.67,61.75
338.61,81.06
336.96,30.16
335.25,31.19
334.12,23.91
335.34,52.79
334.15,38.20
336.91,55.62
341.00,44.39
342.00,29.52
341.56,75.28
341.46,56.03
340.90,39.59
341.13,55.95
343.37,66.15
345.35,38.19
343.54,36.59
341.09,39.87
344.25,61.01
345.34,23.32
342.43,33.34
346.61,45.20
345.76,55.30
349.63,46.58
347.58,80.00
349.80,33.10
349.31,74.43
349.81,58.24
351.96,82.79
352.26,36.00
351.19,52.29
353.81,41.69
349.99,29.50
362.58,20.10
363.73,68.06
358.02,23.00
356.98,72.03
358.35,38.84
358.48,41.15
354.50,56.61
354.11,44.42
353.19,33.48
352.56,39.45
352.09,60.37
350.57,61.23
354.26,68.98
354.30,43.99
355.93,53.19
355.55,81.01
358.29,46.62
361.06,68.27
360.20,66.66
362.46,84.59
360.47,88.40
361.67,73.54
361.80,89.86
363.15,70.02
365.52,87.38
367.78,82.48
367.82,49.12
369.50,62.80
367.86,67.30
370.43,65.96
370.48,46.11
366.82,19.16
363.28,71.14
360.16,66.13
361.71,57.01
359.42,24.07
357.78,18.50
357.06,32.59
350.30,46.19
348.08,54.80
343.04,39.41
343.69,20.00
345.06,20.04
346.34,14.82
345.45,65.51
348.56,71.36
348.43,81.37
345.66,73.47
345.09,93.81
346.23,42.62
345.39,14.79
340.89,20.67
338.66,26.90
335.86,49.18
336.84,46.71
338.63,29.13
336.90,45.60
336.16,74.35
331.71,59.49
337.41,55.88
341.33,66.71
343.75,59.35
349.02,66.13
351.81,53.84
346.63,75.54
346.17,67.01
346.30,80.02
348.18,33.53
350.56,59.44
350.01,51.65
354.25,44.80
356.79,39.21
359.86,21.01
358.93,73.39
361.33,54.28
361.00,75.76
361.80,64.47
362.68,84.94
361.34,48.57
360.05,50.11
358.69,42.83
