High,Low,Fisher
101.0000000000,98.5000000000,0
104.5493938637,101.8184661520,0
107.6453259386,104.8611186291,0
109.9053390370,107.2830563830,0
111.0740807513,108.8031491323,0
111.0536181778,109.2376856096,0
109.9038890739,108.5236437288,0
107.8167122541,106.7284541388,0
105.0727368504,104.0446565353,0
101.9934430557,100.7696500527,-0.115204
98.8992279377,97.2725908456,-0.320199
96.0803834768,93.9521485027,-0.550127
93.7820609930,91.1900703098,-0.781970
92.1991888642,89.3061393685,-1.008643
91.4745393334,88.5200464133,-1.228977
91.6935935059,88.9249168939,-1.406760
92.8732125281,90.4758333695,-1.395412
94.9460070271,92.9948448316,-1.173789
97.7467558797,96.1918994880,-0.812021
101.0094286822,99.6991467285,-0.382399
104.3822548426,103.1143908576,-0.001828
107.4639596053,106.0483624373,0.324541
109.8580146312,108.1700459867,0.609337
111.2355438388,109.2446136344,0.865286
111.3934872128,109.1595108589,1.101990
110.2942378236,107.9357790144,1.222934
108.0765787865,105.7235669477,1.131582
105.0344313023,102.7827299797,0.864643
101.5677614854,99.4511863917,0.451857
98.1166765688,96.1050800541,0.069058
95.0933183801,93.1156254714,-0.263033
92.8256594647,90.8077110326,-0.553109
91.5230306458,89.4249165150,-0.813096
91.2666260867,89.1046501942,-1.052674
92.0214763552,89.8657794227,-1.213293
93.6615418924,91.6096033043,-1.189017
95.9980231711,94.1334929088,-0.979071
98.8029185699,97.1551811348,-0.625205
101.8243041773,100.3446592132,-0.235735
104.7949545029,103.3600153798,0.113432
107.4397799237,105.8833616880,0.418872
109.4886509749,107.6532126542,0.690376
110.6990667688,108.4902381459,0.938016
110.8885483914,108.3141198566,1.169541
109.9712759812,107.1501925852,1.279061
107.9893732928,105.1255486991,1.166465
105.1280550779,102.4552405226,0.874770
101.7063190164,99.4200635733,0.448227
98.1404817577,96.3380951932,0.060808
94.8850259630,93.5326658309,-0.272640
92.3617486561,91.2997330449,-0.562899
90.8920092692,89.8776975874,-0.822694
90.6467021287,89.4225383898,-1.062002
91.6243855280,89.9907470322,-1.218982
93.6610029841,91.5319207288,-1.183803
96.4669119847,93.8920503106,-0.963242
99.6807674972,96.8275619027,-0.602606
102.9269336571,100.0291084670,-0.214969
105.8641760671,103.1530545207,0.131460
108.2178069598,105.8576662340,0.434659
