Close,Fisher
100.00,
101.00,
101.99,
102.98,
103.95,
104.90,
105.82,
106.72,
107.59,
108.42,
109.21,
109.96,
110.66,
111.32,
111.93,
112.49,
113.00,
113.46,
113.87,3.80
114.23,3.80
114.55,3.80
114.82,3.80
115.04,3.80
115.23,3.80
115.38,0.29
115.49,-0.05
115.58,-3.80
115.64,-3.80
115.67,-3.80
115.70,-0.21
115.71,0.79
115.71,0.85
115.71,0.96
115.71,3.80
115.72,1.36
115.75,0.67
115.79,3.80
115.85,3.80
115.94,0.10
116.06,0.16
116.22,3.80
116.41,0.43
116.64,0.47
116.92,0.95
117.24,1.02
117.61,0.73
118.03,0.76
118.50,3.80
119.02,3.80
119.59,3.80
120.21,1.40
120.87,1.46
121.58,1.19
122.34,1.03
123.14,1.11
123.97,1.38
124.84,3.80
125.75,1.95
126.68,2.07
127.63,2.21
128.60,2.08
129.59,2.17
130.58,2.86
131.58,
132.58,
133.58,
134.56,
135.52,
136.47,
137.39,
138.28,
139.14,
139.97,
140.75,
141.49,
142.19,
142.84,
143.44,
143.99,
144.49,
144.95,
145.35,
145.70,
146.01,
146.27,
146.49,
146.67,
146.81,
146.92,
147.01,
147.06,
147.10,
147.11,
147.12,
147.12,
147.12,
147.13,
147.14,
147.17,
147.21,
