Close,Ppo,Signal,Histogram
318.600006,0,0,0
315.839996,0,0,0
316.149994,0,0,0
310.570007,0,0,0
307.779999,0,0,0
305.820007,0,0,0
305.98999,0,0,0
306.390015,0,0,0
311.450012,0,0,0
312.329987,0,0,0
309.290009,0,0,0
301.910004,0,0,0
300,0,0,0
300.029999,0,0,0
302,0,0,0
307.820007,0,0,0
302.690002,0,0,0
306.48999,0,0,0
305.549988,0,0,0
303.429993,0,0,0
309.059998,0,0,0
308.899994,0,0,0
309.910004,0,0,0
314.549988,0,0,0
312.899994,0,0,0
318.690002,0,0,0
315.529999,0,0,0
316.350006,0,0,0
320.369995,0,0,0
318.929993,0,0,0
317.640015,0,0,0
314.859985,0,0,0
308.299988,0,0,0
305.230011,0.43,0.78,-0.35
309.869995,0.33,0.69,-0.36
310.420013,0.27,0.61,-0.34
311.299988,0.24,0.53,-0.3
311.899994,0.22,0.47,-0.25
310.950012,0.19,0.41,-0.23
309.170013,0.11,0.35,-0.24
307.329987,0,0.28,-0.28
311.519989,0.02,0.23,-0.21
310.570007,0.02,0.19,-0.17
311.859985,0.04,0.16,-0.12
308.51001,-0.02,0.12,-0.14
308.429993,-0.07,0.08,-0.16
312.970001,0,0.07,-0.07
308.480011,-0.05,0.04,-0.1
307.209991,-0.13,0.01,-0.14
309.890015,-0.12,-0.02,-0.1
313.73999,-0.01,-0.02,0.01
310.790009,0,-0.01,0.01
309.630005,-0.02,-0.01,-0.01
308.179993,-0.08,-0.03,-0.05
308.23999,-0.12,-0.04,-0.07
302.720001,-0.29,-0.09,-0.2
303.160004,-0.41,-0.16,-0.25
303.070007,-0.5,-0.23,-0.28
304.019989,-0.55,-0.29,-0.26
304.660004,-0.56,-0.34,-0.21
305.179993,-0.55,-0.38,-0.16
304.619995,-0.55,-0.42,-0.13
307.75,-0.46,-0.42,-0.03
312.450012,-0.26,-0.39,0.13
316.970001,0.01,-0.31,0.32
311.119995,0.08,-0.23,0.31
311.369995,0.13,-0.16,0.29
304.820007,0,-0.13,0.13
303.630005,-0.13,-0.13,-0
302.880005,-0.25,-0.15,-0.1
305.329987,-0.28,-0.18,-0.1
297.880005,-0.49,-0.24,-0.25
302.01001,-0.55,-0.3,-0.24
293.51001,-0.81,-0.4,-0.4
301.059998,-0.8,-0.48,-0.32
303.850006,-0.72,-0.53,-0.19
299.730011,-0.75,-0.57,-0.18
298.369995,-0.81,-0.62,-0.18
298.920013,-0.82,-0.66,-0.16
302.140015,-0.74,-0.68,-0.07
302.320007,-0.67,-0.68,0.01
305.299988,-0.52,-0.65,0.12
305.079987,-0.41,-0.6,0.19
308.769989,-0.22,-0.52,0.3
310.309998,-0.03,-0.42,0.4
309.070007,0.09,-0.32,0.41
310.390015,0.22,-0.21,0.43
312.51001,0.37,-0.1,0.46
312.619995,0.49,0.02,0.47
313.700012,0.6,0.14,0.46
314.549988,0.7,0.25,0.45
318.049988,0.86,0.37,0.49
319.73999,1.02,0.5,0.52
323.790009,1.24,0.65,0.59
324.630005,1.41,0.8,0.61
323.089996,1.49,0.94,0.55
323.820007,1.56,1.06,0.49
324.329987,1.6,1.17,0.43
326.049988,1.66,1.27,0.39
324.339996,1.64,1.34,0.3
320.529999,1.51,1.38,0.14
326.230011,1.54,1.41,0.13
328.549988,1.6,1.45,0.15
330.170013,1.67,1.49,0.17
325.859985,1.59,1.51,0.08
323.220001,1.45,1.5,-0.05
320,1.24,1.45,-0.2
323.880005,1.16,1.39,-0.23
326.140015,1.14,1.34,-0.2
324.869995,1.08,1.29,-0.21
322.98999,0.98,1.23,-0.25
322.640015,0.88,1.16,-0.28
322.48999,0.78,1.08,-0.3
323.529999,0.72,1.01,-0.29
323.75,0.68,0.94,-0.27
327.390015,0.72,0.9,-0.18
329.76001,0.81,0.88,-0.07
330.390015,0.88,0.88,-0
329.130005,0.89,0.88,0.01
323.109985,0.75,0.86,-0.11
320.200012,0.55,0.8,-0.24
319.019989,0.37,0.71,-0.34
320.600006,0.25,0.62,-0.36
322.190002,0.2,0.54,-0.33
321.079987,0.13,0.46,-0.32
323.119995,0.13,0.39,-0.26
329.480011,0.28,0.37,-0.09
328.579987,0.37,0.37,0
333.410004,0.56,0.4,0.15
335.420013,0.74,0.47,0.27
335.950012,0.89,0.56,0.34
335.290009,0.98,0.64,0.34
333.600006,1,0.71,0.29
336.390015,1.07,0.79,0.29
335.899994,1.1,0.85,0.25
339.820007,1.21,0.92,0.29
338.309998,1.24,0.99,0.25
338.670013,1.26,1.04,0.22
338.609985,1.26,1.08,0.17
336.959991,1.2,1.11,0.1
335.25,1.11,1.11,-0
334.119995,0.99,1.08,-0.09
335.339996,0.92,1.05,-0.13
334.149994,0.82,1,-0.18
336.910004,0.8,0.96,-0.16
341,0.87,0.95,-0.07
342,0.95,0.95,-0
341.559998,0.98,0.95,0.03
341.459991,0.99,0.96,0.03
340.899994,0.98,0.96,0.01
341.130005,0.96,0.96,-0
343.369995,0.99,0.97,0.02
345.350006,1.04,0.98,0.06
343.540009,1.03,0.99,0.04
341.089996,0.96,0.99,-0.03
344.25,0.96,0.98,-0.02
345.339996,0.98,0.98,-0
342.429993,0.91,0.97,-0.06
346.609985,0.94,0.96,-0.02
345.76001,0.94,0.96,-0.02
349.630005,1.02,0.97,0.05
347.579987,1.02,0.98,0.04
349.799988,1.06,0.99,0.06
349.309998,1.06,1.01,0.06
349.809998,1.07,1.02,0.05
351.959991,1.11,1.04,0.07
352.26001,1.14,1.06,0.08
351.190002,1.12,1.07,0.05
353.809998,1.15,1.09,0.07
349.98999,1.08,1.08,-0.01
362.579987,1.29,1.13,0.17
363.730011,1.47,1.19,0.28
358.019989,1.46,1.25,0.22
356.980011,1.42,1.28,0.14
358.350006,1.4,1.31,0.09
358.480011,1.37,1.32,0.05
354.5,1.24,1.3,-0.06
354.109985,1.11,1.26,-0.15
353.190002,0.98,1.21,-0.22
352.559998,0.86,1.14,-0.28
352.089996,0.74,1.06,-0.32
350.570007,0.6,0.97,-0.37
354.26001,0.57,0.89,-0.32
354.299988,0.54,0.82,-0.28
355.929993,0.55,0.76,-0.22
355.549988,0.54,0.72,-0.18
358.290009,0.59,0.69,-0.11
361.059998,0.68,0.69,-0.01
360.200012,0.72,0.7,0.03
362.459991,0.8,0.72,0.08
360.470001,0.81,0.74,0.07
361.670013,0.83,0.75,0.08
361.799988,0.84,0.77,0.07
363.149994,0.87,0.79,0.08
365.519989,0.94,0.82,0.12
367.779999,1.03,0.86,0.16
367.820007,1.09,0.91,0.18
369.5,1.16,0.96,0.2
367.859985,1.16,1,0.16
370.429993,1.21,1.04,0.17
370.480011,1.23,1.08,0.15
366.820007,1.16,1.09,0.06
363.279999,1.01,1.08,-0.07
360.160004,0.81,1.02,-0.21
361.709991,0.68,0.95,-0.27
359.420013,0.52,0.87,-0.35
357.779999,0.35,0.76,-0.41
357.059998,0.2,0.65,-0.45
350.299988,-0.07,0.51,-0.58
348.079987,-0.33,0.34,-0.67
343.040009,-0.64,0.14,-0.79
343.690002,-0.87,-0.06,-0.81
345.059998,-1.01,-0.25,-0.76
346.339996,-1.08,-0.42,-0.66
345.450012,-1.14,-0.56,-0.58
348.559998,-1.11,-0.67,-0.44
