Volume,Pvo,Signal,Histogram
7919700,0.00,0.00,0.00
4351600,0.00,0.00,0.00
3025700,0.00,0.00,0.00
3835800,0.00,0.00,0.00
3877400,0.00,0.00,0.00
4130800,0.00,0.00,0.00
2351700,0.00,0.00,0.00
3326000,0.00,0.00,0.00
4366700,0.00,0.00,0.00
5042800,0.00,0.00,0.00
4056900,0.00,0.00,0.00
5103900,0.00,0.00,0.00
8305700,0.00,0.00,0.00
3842200,0.00,0.00,0.00
3090700,0.00,0.00,0.00
3264600,0.00,0.00,0.00
3560100,0.00,0.00,0.00
2460400,0.00,0.00,0.00
2730900,0.00,0.00,0.00
2628200,0.00,0.00,0.00
2846200,0.00,0.00,0.00
3298300,0.00,0.00,0.00
3549900,0.00,0.00,0.00
5121200,0.00,0.00,0.00
3416300,0.00,0.00,0.00
3647900,0.00,0.00,0.00
4397400,0.00,0.00,0.00
3049100,0.00,0.00,0.00
2999500,0.00,0.00,0.00
3070300,0.00,0.00,0.00
2773000,0.00,0.00,0.00
3478900,0.00,0.00,0.00
3406000,0.00,0.00,0.00
3614600,-6.85,-7.67,0.81
3770100,-5.59,-7.25,1.66
3086700,-6.10,-7.02,0.92
2234300,-8.49,-7.32,-1.17
2299800,-10.24,-7.90,-2.34
2856600,-10.16,-8.35,-1.81
3031200,-9.54,-8.59,-0.95
3474600,-7.82,-8.44,0.62
3653400,-5.94,-7.94,2.00
3518300,-4.74,-7.30,2.55
4421400,-1.62,-6.16,4.55
5385700,2.87,-4.36,7.22
2973100,1.00,-3.29,4.29
3786700,1.31,-2.37,3.67
3370000,0.61,-1.77,2.38
3461200,0.26,-1.37,1.63
2808000,-1.50,-1.39,-0.11
3261500,-1.85,-1.48,-0.37
2907100,-2.94,-1.78,-1.17
2410700,-5.00,-2.42,-2.58
2801700,-5.66,-3.07,-2.59
2720500,-6.33,-3.72,-2.61
4131100,-3.24,-3.63,0.38
2899500,-3.85,-3.67,-0.18
2736400,-4.71,-3.88,-0.83
3656200,-3.03,-3.71,0.68
