Close,Rsi
318.600006,0
315.839996,0
316.149994,0
310.570007,0
307.779999,0
305.820007,0
305.98999,0
306.390015,0
311.450012,0
312.329987,0
309.290009,0
301.910004,0
300,0
300.029999,0
302,25.76
307.820007,37.25
302.690002,32.48
306.48999,38.74
305.549988,37.8
303.429993,35.71
309.059998,44.49
308.899994,44.3
309.910004,45.84
314.549988,52.33
312.899994,50.03
318.690002,57.14
315.529999,52.73
316.350006,53.73
320.369995,58.36
318.929993,56.19
317.640015,54.24
314.859985,50.2
308.299988,42.22
305.230011,39.08
309.869995,45.65
310.420013,46.39
311.299988,47.61
311.899994,48.48
310.950012,47.15
309.170013,44.68
307.329987,42.22
311.519989,49.1
310.570007,47.71
311.859985,49.78
308.51001,44.81
308.429993,44.7
312.970001,52.18
308.480011,45.61
307.209991,43.92
309.890015,48.27
313.73999,53.8
310.790009,49.44
309.630005,47.8
308.179993,45.75
308.23999,45.85
302.720001,38.58
303.160004,39.4
303.070007,39.29
304.019989,41.26
304.660004,42.61
305.179993,43.74
304.619995,42.76
307.75,49.56
312.450012,57.68
316.970001,63.73
311.119995,53.14
311.369995,53.5
304.820007,44.06
303.630005,42.59
302.880005,41.65
305.329987,45.87
297.880005,37.09
302.01001,43.54
293.51001,35.48
301.059998,45.19
303.850006,48.28
299.730011,44.3
298.369995,43.04
298.920013,43.74
302.140015,47.77
302.320007,48
305.299988,51.7
305.079987,51.41
308.769989,55.89
310.309998,57.64
309.070007,55.72
310.390015,57.35
312.51001,59.91
312.619995,60.04
313.700012,61.4
314.549988,62.49
318.049988,66.64
319.73999,68.45
323.790009,72.34
324.630005,73.08
323.089996,69.41
323.820007,70.18
324.329987,70.73
326.049988,72.56
324.339996,67.99
320.529999,59.06
326.230011,66.21
328.549988,68.61
330.170013,70.21
325.859985,61.29
323.220001,56.56
320,51.34
323.880005,56.54
326.140015,59.27
324.869995,57.1
322.98999,53.95
322.640015,53.36
322.48999,53.09
323.529999,54.79
323.75,55.16
327.390015,60.85
329.76001,64.06
330.390015,64.88
329.130005,61.83
323.109985,49.8
320.200012,45.22
319.019989,43.47
320.600006,46.45
322.190002,49.35
321.079987,47.42
323.119995,51.19
329.480011,60.67
328.579987,58.93
333.410004,64.78
335.420013,66.89
335.950012,67.45
335.290009,65.96
333.600006,62.2
336.390015,65.68
335.899994,64.56
339.820007,69.12
338.309998,65.61
338.670013,66.06
338.609985,65.9
336.959991,61.7
335.25,57.6
334.119995,55
335.339996,57.24
334.149994,54.39
336.910004,59.44
341,65.52
342,66.83
341.559998,65.65
341.459991,65.37
340.899994,63.71
341.130005,64.11
343.369995,67.85
345.350006,70.75
343.540009,64.98
341.089996,58.08
344.25,63.47
345.339996,65.13
342.429993,57.59
346.609985,64.03
345.76001,61.97
349.630005,67.16
347.579987,62.31
349.799988,65.24
349.309998,64.05
349.809998,64.76
351.959991,67.68
352.26001,68.08
351.190002,65
353.809998,68.73
349.98999,58.89
362.579987,72.74
363.730011,73.61
358.019989,62.84
356.980011,61.08
358.350006,62.56
358.480011,62.71
354.5,55.6
354.109985,54.94
353.190002,53.34
352.559998,52.22
352.089996,51.35
350.570007,48.54
354.26001,54.98
354.299988,55.05
355.929993,57.75
355.549988,56.89
358.290009,61.36
361.059998,65.28
360.200012,63.14
362.459991,66.27
360.470001,61.33
361.670013,63.12
361.799988,63.31
363.149994,65.39
365.519989,68.73
367.779999,71.55
367.820007,71.6
369.5,73.64
367.859985,68.46
370.429993,71.81
370.480011,71.87
366.820007,61.17
363.279999,52.95
360.160004,46.97
361.709991,49.99
359.420013,45.83
357.779999,43.07
357.059998,41.87
350.299988,32.71
348.079987,30.36
343.040009,25.82
343.690002,27.33
345.059998,30.54
346.339996,33.49
345.450012,32.45
348.559998,39.48
348.429993,39.3
345.660004,35.5
345.089996,34.76
346.230011,37.57
345.390015,36.33
340.890015,30.5
338.660004,28.09
335.859985,25.38
336.839996,28
338.630005,32.65
336.899994,30.59
336.160004,29.73
331.709991,25.14
337.410004,38.28
341.329987,45.38
343.75,49.26
349.019989,56.5
351.809998,59.78
346.630005,51.96
346.170013,51.31
346.299988,51.5
348.179993,54.17
350.559998,57.38
350.01001,56.39
354.25,61.82
356.790009,64.65
359.859985,67.77
358.929993,65.87
361.329987,68.33
361,67.61
361.799988,68.48
362.679993,69.45
361.339996,66.11
360.049988,62.97
358.690002,59.75
