High,Low,Close,K,D
318.600006,308.700012,318.600006,0,0
319.559998,313.299988,315.839996,0,0
316.380005,312.75,316.149994,0,0
315.660004,308.730011,310.570007,0,0
310.290009,306.350006,307.779999,0,0
309.380005,304.920013,305.820007,0,0
307.48999,305.089996,305.98999,0,0
308.339996,304.709991,306.390015,0,0
311.910004,305.459991,311.450012,0,0
318.910004,310.820007,312.329987,0,0
316.359985,308.399994,309.290009,0,0
306.959991,299.450012,301.910004,0,0
302.470001,297.76001,300,0,0
301.480011,297.149994,300.029999,0,0
304.190002,297,302,0,0
308.540009,304.160004,307.820007,49.38,28.13
306.5,297.640015,302.690002,25.97,32.51
306.570007,300.929993,306.48999,43.31,39.56
308.579987,304.649994,305.549988,39.02,36.1
307.459991,303.26001,303.429993,29.35,37.23
309.380005,305.23999,309.059998,55.04,41.14
309.040009,305.619995,308.899994,54.31,46.23
312.390015,307.380005,309.910004,58.92,56.09
316.890015,311.25,314.549988,88.24,67.16
314.230011,310,312.899994,79.94,75.7
320.160004,313.380005,318.690002,93.65,87.28
320.5,314.75,315.529999,78.85,84.15
316.799988,313.339996,316.350006,82.34,84.95
320.570007,316.600006,320.369995,99.13,86.77
321.320007,317.720001,318.929993,89.91,90.46
318.420013,315.790009,317.640015,81.95,90.33
318.519989,314.25,314.859985,64.23,78.7
315.540009,307.75,308.299988,27.91,58.03
307.23999,303.859985,305.230011,7.85,33.33
310.01001,304.359985,309.869995,34.42,23.39
312.730011,306.850006,310.420013,37.57,26.61
312.829987,307.5,311.299988,42.61,38.2
312.549988,307.709991,311.899994,46.05,42.08
313.679993,309.579987,310.950012,40.61,43.09
311.730011,308.339996,309.170013,30.41,39.02
309.51001,306.809998,307.329987,19.87,30.3
311.859985,305.790009,311.519989,43.87,31.39
312.670013,306.380005,310.570007,38.43,34.06
312.600006,308.299988,311.859985,54.57,45.62
311.549988,305.920013,308.51001,31.72,41.57
308.799988,305.600006,308.429993,39.13,41.81
314.149994,306.630005,312.970001,88.53,53.13
313.410004,308.01001,308.480011,42.08,56.58
311.420013,306.98999,307.209991,18.83,49.82
309.980011,305.279999,309.890015,51.97,37.63
313.73999,309.619995,313.73999,95.38,55.39
314.100006,309.040009,310.790009,62.12,69.82
310.369995,308.279999,309.630005,49.04,68.85
310.200012,306.869995,308.179993,32.69,47.95
308.410004,305.480011,308.23999,33.37,38.37
307.299988,300.5,302.720001,16.26,27.44
305.269989,301.769989,303.160004,19.49,23.04
305.559998,300.25,303.070007,20.29,18.68
305.619995,300.01001,304.019989,28.36,22.71
305.779999,302.01001,304.660004,32.89,27.18
306.149994,303.410004,305.179993,36.69,32.65
305.619995,302.079987,304.619995,32.72,34.1
308.100006,301.450012,307.75,54.93,41.45
312.660004,308.5,312.450012,88.29,58.65
317.290009,312.429993,316.970001,98.15,80.46
316.5,310.230011,311.119995,64.29,83.58
312.679993,309.25,311.369995,65.74,76.06
313.179993,303.940002,304.820007,27.84,52.62
306.720001,301.920013,303.630005,20.95,38.18
306.589996,300.76001,302.880005,16.61,21.8
307.549988,301.679993,305.329987,30.79,22.78
300.549988,294.899994,297.880005,13.31,20.24
304.429993,295.359985,302.01001,31.76,25.28
301.299988,292.420013,293.51001,4.38,16.48
301.51001,295.059998,301.059998,34.74,23.63
305.630005,302.25,303.850006,45.96,28.36
307.049988,299.649994,299.730011,29.39,36.7
302.079987,296.299988,298.369995,23.92,33.09
299.5,293.390015,298.920013,26.99,26.77
303.209991,298.970001,302.140015,46.82,32.58
302.720001,300.589996,302.320007,47.69,40.5
305.380005,303.359985,305.299988,85.13,59.88
307.470001,302.579987,305.079987,83.67,72.16
308.809998,304.98999,308.769989,99.76,89.52
311.5,308.23999,310.309998,93.76,92.4
311,307.070007,309.070007,87.26,93.59
311.070007,307.850006,310.390015,94.18,91.74
313.220001,309.049988,312.51001,96.42,92.62
313.700012,310.329987,312.619995,94.68,95.09
315.940002,311.769989,313.700012,90.07,93.72
316.920013,313.720001,314.549988,89.93,91.56
318.809998,313.26001,318.049988,97.01,92.33
321.880005,318.119995,319.73999,90.66,92.53
323.980011,319,323.790009,99.19,95.62
325.720001,322.5,324.630005,95.29,95.05
324.549988,322.76001,323.089996,88.63,94.37
324.369995,321.320007,323.820007,90.83,91.59
324.850006,321.609985,324.329987,92.55,90.67
326.399994,324.299988,326.049988,98.19,93.86
327.100006,324.109985,324.339996,85.66,92.13
323.73999,319,320.529999,63.6,82.48
326.910004,322.109985,326.230011,94.81,81.36
328.809998,325.190002,328.549988,98.47,85.63
331.839996,328.570007,330.170013,91.01,94.77
330.25,322.76001,325.859985,67.81,85.77
328.070007,323.059998,323.220001,37.17,65.33
325.98999,317.410004,320,17.95,40.98
325.160004,322.619995,323.880005,44.84,33.32
330.690002,325.790009,326.140015,60.5,41.09
326.880005,323.480011,324.869995,51.7,52.34
326.160004,320.149994,322.98999,38.67,50.29
322.959991,319.809998,322.640015,36.24,42.2
324.23999,320.540009,322.48999,35.2,36.71
323.829987,320.130005,323.529999,42.41,37.95
324.690002,322.359985,323.75,43.94,40.52
328.26001,324.820007,327.390015,69.16,51.84
329.980011,325.850006,329.76001,85.59,66.23
333.940002,329.119995,330.390015,78.52,77.76
331.48999,328.350006,329.130005,70.9,78.34
329.269989,322.970001,323.109985,34.48,61.3
323,319.559998,320.200012,4.45,36.61
320.559998,317.709991,319.019989,8.07,15.67
322.630005,319.670013,320.600006,17.81,10.11
322.470001,319,322.190002,27.6,17.83
322.410004,319.390015,321.079987,20.76,22.06
323.220001,319.529999,323.119995,33.33,27.23
330.670013,324.420013,329.480011,72.52,42.21
330.890015,327.570007,328.579987,66.97,57.61
334.160004,328.679993,333.410004,95.44,78.31
335.820007,331.429993,335.420013,97.79,86.74
336.320007,334.100006,335.950012,98.01,97.08
337.589996,334.920013,335.290009,88.43,94.74
335.350006,332.220001,333.600006,79.93,88.79
336.619995,332.200012,336.390015,93.96,87.44
340.380005,334.089996,335.899994,80.24,84.71
341.679993,335.540009,339.820007,91.8,88.67
341.299988,337.660004,338.309998,85.14,85.73
339.279999,336.619995,338.670013,86.5,87.81
341.350006,336.369995,338.609985,86.14,85.93
338.850006,335.660004,336.959991,72.65,81.76
337.470001,334.190002,335.25,54.43,71.07
335.829987,331.839996,334.119995,41.85,56.31
336.730011,334.369995,335.339996,38.15,44.81
336.399994,332.609985,334.149994,23.48,34.49
337.01001,334.140015,336.910004,51.52,37.72
342.5,338.399994,341,85.93,53.64
342.079987,338.410004,342,95.31,77.59
341.890015,338.700012,341.559998,91.18,90.81
341.799988,338.910004,341.459991,90.24,92.25
344.070007,340.390015,340.899994,74.08,85.17
343.480011,339.869995,341.130005,75.96,80.09
343.839996,340.929993,343.369995,94.28,81.44
346.440002,344.309998,345.350006,92.53,87.59
