Close,BuySetup,SellSetup,BuyCountdown,SellCountdown
318.600006,0,0,0,0
315.839996,0,0,0,0
316.149994,0,0,0,0
310.570007,0,0,0,0
307.779999,1,0,0,0
305.820007,2,0,0,0
305.98999,3,0,0,0
306.390015,4,0,0,0
311.450012,0,-1,0,0
312.329987,0,-2,0,0
309.290009,0,-3,0,0
301.910004,1,0,0,0
300.0,2,0,0,0
300.029999,3,0,0,0
302.0,4,0,0,0
307.820007,0,-1,0,0
302.690002,0,-2,0,0
306.48999,0,-3,0,0
305.549988,0,-4,0,0
303.429993,1,0,0,0
309.059998,0,-1,0,0
308.899994,0,-2,0,0
309.910004,0,-3,0,0
314.549988,0,-4,0,0
312.899994,0,-5,0,0
318.690002,0,-6,0,0
315.529999,0,-7,0,0
316.350006,0,-8,0,0
320.369995,0,-9,0,1
318.929993,0,-10,0,2
317.640015,0,-11,0,2
314.859985,1,0,0,2
308.299988,2,0,0,2
305.230011,3,0,0,2
309.869995,4,0,0,3
310.420013,5,0,0,4
311.299988,0,-1,0,5
311.899994,0,-2,0,6
310.950012,0,-3,0,6
309.170013,1,0,0,6
307.329987,2,0,0,6
311.519989,3,0,0,7
310.570007,4,0,0,8
311.859985,0,-1,0,9
308.51001,0,-2,0,9
308.429993,1,0,0,9
312.970001,0,-1,0,10
308.480011,1,0,0,11
307.209991,2,0,0,11
309.890015,0,-1,0,12
313.73999,0,-2,0,0
310.790009,0,-3,0,0
309.630005,0,-4,0,0
308.179993,1,0,0,0
308.23999,2,0,0,0
302.720001,3,0,0,0
303.160004,4,0,0,0
303.070007,5,0,0,0
304.019989,6,0,0,0
304.660004,0,-1,0,0
305.179993,0,-2,0,0
304.619995,0,-3,0,0
307.75,0,-4,0,0
312.450012,0,-5,0,0
316.970001,0,-6,0,0
311.119995,0,-7,0,0
311.369995,0,-8,0,0
304.820007,1,0,0,0
303.630005,2,0,0,0
302.880005,3,0,0,0
305.329987,4,0,0,0
297.880005,5,0,0,0
302.01001,6,0,0,0
293.51001,7,0,0,0
301.059998,8,0,0,0
303.850006,0,-1,0,0
299.730011,1,0,0,0
298.369995,0,-1,0,0
298.920013,1,0,0,0
302.140015,2,0,0,0
302.320007,0,-1,0,0
305.299988,0,-2,0,0
305.079987,0,-3,0,0
308.769989,0,-4,0,0
310.309998,0,-5,0,0
309.070007,0,-6,0,0
310.390015,0,-7,0,0
312.51001,0,-8,0,0
312.619995,0,-9,0,1
313.700012,0,-10,0,2
314.549988,0,-11,0,3
318.049988,0,-12,0,4
319.73999,0,-13,0,5
323.790009,0,-14,0,6
324.630005,0,-15,0,7
323.089996,0,-16,0,7
323.820007,0,-17,0,7
324.329987,0,-18,0,8
326.049988,0,-19,0,9
324.339996,0,-20,0,10
320.529999,1,0,0,10
326.230011,0,-1,0,11
328.549988,0,-2,0,12
330.170013,0,-3,0,0
325.859985,0,-4,0,0
323.220001,1,0,0,0
320.0,2,0,0,0
323.880005,3,0,0,0
326.140015,0,-1,0,0
324.869995,0,-2,0,0
322.98999,0,-3,0,0
322.640015,1,0,0,0
322.48999,2,0,0,0
323.529999,3,0,0,0
323.75,0,-1,0,0
327.390015,0,-2,0,0
329.76001,0,-3,0,0
330.390015,0,-4,0,0
329.130005,0,-5,0,0
323.109985,1,0,0,0
320.200012,2,0,0,0
319.019989,3,0,0,0
320.600006,4,0,0,0
322.190002,5,0,0,0
321.079987,0,-1,0,0
323.119995,0,-2,0,0
329.480011,0,-3,0,0
328.579987,0,-4,0,0
333.410004,0,-5,0,0
335.420013,0,-6,0,0
335.950012,0,-7,0,0
335.290009,0,-8,0,0
333.600006,0,-9,0,0
336.390015,0,-10,0,1
335.899994,1,0,0,2
339.820007,0,-1,0,3
338.309998,0,-2,0,4
338.670013,0,-3,0,4
338.609985,0,-4,0,5
336.959991,1,0,0,5
335.25,2,0,0,5
334.119995,3,0,0,5
335.339996,4,0,0,6
334.149994,5,0,0,7
336.910004,0,-1,0,8
341.0,0,-2,0,9
342.0,0,-3,0,10
341.559998,0,-4,0,11
341.459991,0,-5,0,11
340.899994,1,0,0,11
341.130005,2,0,0,11
343.369995,0,-1,0,12
345.350006,0,-2,0,0
343.540009,0,-3,0,0
341.089996,1,0,0,0
344.25,0,-1,0,0
345.339996,1,0,0,0
342.429993,2,0,0,0
346.609985,0,-1,0,0
345.76001,0,-2,0,0
349.630005,0,-3,0,0
347.579987,0,-4,0,0
349.799988,0,-5,0,0
349.309998,0,-6,0,0
349.809998,0,-7,0,0
351.959991,0,-8,0,0
352.26001,0,-9,0,1
351.190002,0,-10,0,1
353.809998,0,-11,0,2
349.98999,1,0,0,2
362.579987,0,-1,0,3
363.730011,0,-2,0,4
358.019989,0,-3,0,4
356.980011,0,-4,0,4
358.350006,1,0,0,5
358.480011,2,0,0,6
354.5,3,0,0,6
354.109985,4,0,0,6
353.190002,5,0,0,6
352.559998,6,0,0,6
352.089996,7,0,0,6
350.570007,8,0,0,6
354.26001,0,-1,0,7
354.299988,0,-2,0,8
355.929993,0,-3,0,9
355.549988,0,-4,0,10
358.290009,0,-5,0,11
361.059998,0,-6,0,12
360.200012,0,-7,0,0
362.459991,0,-8,0,0
360.470001,0,-9,0,1
361.670013,0,-10,0,1
361.799988,0,-11,0,2
363.149994,0,-12,0,3
365.519989,0,-13,0,4
367.779999,0,-14,0,5
367.820007,0,-15,0,6
369.5,0,-16,0,7
367.859985,0,-17,0,8
370.429993,0,-18,0,9
370.480011,0,-19,0,10
366.820007,1,0,0,10
363.279999,2,0,0,10
360.160004,3,0,0,10
361.709991,4,0,0,10
359.420013,5,0,0,10
357.779999,6,0,0,10
357.059998,7,0,0,10
350.299988,8,0,0,10
348.079987,9,0,1,10
343.040009,10,0,2,10
343.690002,11,0,3,10
345.059998,12,0,3,11
346.339996,13,0,3,12
345.450012,0,-1,3,0
348.559998,0,-2,3,0
348.429993,0,-3,3,0
345.660004,1,0,4,0
345.089996,2,0,5,0
346.230011,3,0,5,0
345.390015,4,0,5,0
340.890015,5,0,6,0
338.660004,6,0,7,0
335.859985,7,0,8,0
336.839996,8,0,9,0
338.630005,9,0,9,0
336.899994,10,0,9,0
336.160004,0,-1,10,0
331.709991,1,0,11,0
337.410004,2,0,11,0
341.329987,0,-1,11,0
343.75,0,-2,11,0
349.019989,0,-3,11,0
351.809998,0,-4,11,0
346.630005,0,-5,12,0
346.170013,0,-6,0,0
346.299988,1,0,0,0
