Action,Outcome
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,-0
0,0.01
0,0.03
0,0.01
0,0.02
0,0.02
0,0.01
0,0.03
0,0.03
0,0.03
0,0.05
0,0.04
0,0.06
0,0.05
0,0.05
0,0.07
0,0.06
0,0.06
0,0.05
0,0.03
-1,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
0,0.02
1,0.02
0,-0
0,-0
0,-0.02
-1,-0.03
0,-0.03
0,-0.03
0,-0.03
0,-0.03
0,-0.03
0,-0.03
0,-0.03
0,-0.03
0,-0.03
0,-0.03
0,-0.03
0,-0.03
0,-0.03
0,-0.03
0,-0.03
0,-0.03
0,-0.03
0,-0.03
1,-0.03
0,-0.03
0,-0.02
0,-0.02
0,-0.01
0,-0
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.02
0,0.01
0,-0
0,0.02
0,0.02
0,0.03
0,0.02
0,0.01
-1,-0
0,-0
0,-0
0,-0
0,-0
0,-0
0,-0
0,-0
0,-0
0,-0
0,-0
1,-0
0,-0.01
0,-0.02
-1,-0.03
0,-0.03
0,-0.03
0,-0.03
0,-0.03
0,-0.03
1,-0.03
0,-0.04
0,-0.02
0,-0.02
0,-0.01
0,-0.02
0,-0.02
0,-0.01
0,-0.01
0,-0
0,-0.01
0,-0.01
0,-0.01
0,-0.01
0,-0.02
0,-0.02
0,-0.02
0,-0.02
0,-0.01
0,0
0,0
0,0
0,0
0,0
0,0
0,0.01
0,0.01
0,0.01
0,0
0,0.01
0,0.01
0,0.01
0,0.02
0,0.01
0,0.03
0,0.02
0,0.03
0,0.03
0,0.03
0,0.03
0,0.03
0,0.03
0,0.04
0,0.03
0,0.06
0,0.07
0,0.05
0,0.05
0,0.05
0,0.05
0,0.04
0,0.04
0,0.04
0,0.03
0,0.03
-1,0.03
0,0.03
0,0.03
0,0.03
0,0.03
0,0.03
0,0.03
0,0.03
0,0.03
0,0.03
0,0.03
0,0.03
0,0.03
1,0.03
0,0.04
0,0.04
0,0.04
0,0.04
0,0.04
0,0.04
0,0.03
0,0.02
-1,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
0,0.01
1,0.01
0,0.02
0,0.01
0,0.01
0,0.01
0,0.01
0,0.02
0,0.02
0,0.03
0,0.04
0,0.05
0,0.04
0,0.05
0,0.05
0,0.05
0,0.05
0,0.05
0,0.05
0,0.04
