Close,Apo
318.600006,0
315.839996,0
316.149994,0
310.570007,0
307.779999,0
305.820007,0
305.98999,0
306.390015,0
311.450012,0
312.329987,0
309.290009,0
301.910004,0
300,0
300.029999,0
302,0
307.820007,0
302.690002,0
306.48999,0
305.549988,0
303.429993,0
309.059998,0
308.899994,0
309.910004,0
314.549988,0
312.899994,0
318.690002,0
315.529999,0
316.350006,0
320.369995,0
318.929993,3.81
317.640015,3.84
314.859985,3.64
308.299988,2.99
305.230011,2.23
309.869995,1.92
310.420013,1.68
311.299988,1.54
311.899994,1.45
310.950012,1.3
309.170013,1.04
307.329987,0.7
311.519989,0.7
310.570007,0.63
311.859985,0.66
308.51001,0.45
308.429993,0.27
312.970001,0.43
308.480011,0.25
307.209991,0.01
309.890015,0.01
313.73999,0.26
310.790009,0.27
309.630005,0.19
308.179993,0.03
308.23999,-0.1
302.720001,-0.59
303.160004,-0.95
303.070007,-1.23
304.019989,-1.39
304.660004,-1.46
305.179993,-1.47
304.619995,-1.51
307.75,-1.3
312.450012,-0.81
316.970001,-0.09
311.119995,0.1
311.369995,0.26
304.820007,-0.06
303.630005,-0.4
302.880005,-0.72
305.329987,-0.81
297.880005,-1.39
302.01001,-1.56
293.51001,-2.27
301.059998,-2.31
303.850006,-2.12
299.730011,-2.24
298.369995,-2.41
298.920013,-2.49
302.140015,-2.31
302.320007,-2.14
305.299988,-1.77
305.079987,-1.47
308.769989,-0.96
310.309998,-0.44
309.070007,-0.09
310.390015,0.28
312.51001,0.72
312.619995,1.09
313.700012,1.44
314.549988,1.78
318.049988,2.28
319.73999,2.78
323.790009,3.44
324.630005,4
323.089996,4.32
323.820007,4.59
324.329987,4.81
326.049988,5.06
324.339996,5.1
320.529999,4.83
326.230011,4.96
328.549988,5.18
330.170013,5.43
325.859985,5.29
323.220001,4.94
320,4.4
323.880005,4.19
326.140015,4.14
324.869995,3.97
322.98999,3.68
322.640015,3.38
322.48999,3.1
323.529999,2.92
323.75,2.76
327.390015,2.86
329.76001,3.08
330.390015,3.27
329.130005,3.32
323.109985,2.91
320.200012,2.35
319.019989,1.8
320.600006,1.45
322.190002,1.26
321.079987,1.01
323.119995,0.95
329.480011,1.33
328.579987,1.56
333.410004,2.07
335.420013,2.6
335.950012,3.04
335.290009,3.33
333.600006,3.42
336.390015,3.66
335.899994,3.78
339.820007,4.12
338.309998,4.26
338.670013,4.36
338.609985,4.4
336.959991,4.27
335.25,4.02
334.119995,3.71
335.339996,3.5
334.149994,3.22
336.910004,3.16
341,3.36
342,3.57
341.559998,3.67
341.459991,3.72
340.899994,3.69
341.130005,3.64
343.369995,3.73
345.350006,3.91
343.540009,3.89
341.089996,3.68
344.25,3.69
345.339996,3.74
342.429993,3.55
346.609985,3.65
345.76001,3.65
349.630005,3.88
347.579987,3.89
349.799988,4.02
349.309998,4.06
349.809998,4.08
351.959991,4.22
352.26001,4.32
351.190002,4.28
353.809998,4.4
349.98999,4.19
362.579987,4.85
363.730011,5.43
358.019989,5.46
356.980011,5.36
358.350006,5.33
358.480011,5.27
354.5,4.9
354.109985,4.53
353.190002,4.13
352.559998,3.72
352.089996,3.33
350.570007,2.88
354.26001,2.74
354.299988,2.61
355.929993,2.6
355.549988,2.53
358.290009,2.65
361.059998,2.91
360.200012,3.04
362.459991,3.27
360.470001,3.3
361.670013,3.37
361.799988,3.41
363.149994,3.51
365.519989,3.72
367.779999,4.01
367.820007,4.22
369.5,4.47
367.859985,4.52
370.429993,4.69
370.480011,4.8
366.820007,4.59
363.279999,4.14
360.160004,3.53
361.709991,3.11
359.420013,2.58
357.779999,2.02
357.059998,1.49
350.299988,0.59
348.079987,-0.3
343.040009,-1.36
343.690002,-2.17
345.059998,-2.71
346.339996,-3.04
345.450012,-3.34
348.559998,-3.34
348.429993,-3.32
345.660004,-3.47
345.089996,-3.6
346.230011,-3.59
345.390015,-3.61
340.890015,-3.91
338.660004,-4.27
335.859985,-4.72
336.839996,-4.97
338.630005,-5.02
336.899994,-5.13
336.160004,-5.22
331.709991,-5.56
337.410004,-5.39
341.329987,-4.94
343.75,-4.37
349.019989,-3.5
351.809998,-2.58
346.630005,-2.16
346.170013,-1.84
346.299988,-1.55
348.179993,-1.18
350.559998,-0.7
350.01001,-0.34
354.25,0.24
356.790009,0.88
359.859985,1.61
358.929993,2.12
361.329987,2.69
361,3.09
361.799988,3.46
362.679993,3.78
361.339996,3.92
360.049988,3.9
358.690002,3.77
