High,Low,Up,Down
318.600006,308.700012,0,0
319.559998,313.299988,0,0
316.380005,312.75,0,0
315.660004,308.730011,0,0
310.290009,306.350006,0,0
309.380005,304.920013,0,0
307.48999,305.089996,0,0
308.339996,304.709991,0,0
311.910004,305.459991,0,0
318.910004,310.820007,0,0
316.359985,308.399994,0,0
306.959991,299.450012,0,0
302.470001,297.76001,0,0
301.480011,297.149994,0,0
304.190002,297,0,0
308.540009,304.160004,0,0
306.5,297.640015,0,0
306.570007,300.929993,0,0
308.579987,304.649994,0,0
307.459991,303.26001,0,0
309.380005,305.23999,0,0
309.040009,305.619995,0,0
312.390015,307.380005,0,0
316.890015,311.25,0,0
314.230011,310,100,100
320.160004,313.380005,100,96
320.5,314.75,100,92
316.799988,313.339996,96,88
320.570007,316.600006,100,84
321.320007,317.720001,100,80
318.420013,315.790009,96,76
318.519989,314.25,92,72
315.540009,307.75,88,68
307.23999,303.859985,84,64
310.01001,304.359985,80,60
312.730011,306.850006,76,56
312.829987,307.5,72,52
312.549988,307.709991,68,48
313.679993,309.579987,64,44
311.730011,308.339996,60,40
309.51001,306.809998,56,36
311.859985,305.790009,52,32
312.670013,306.380005,48,28
312.600006,308.299988,44,24
311.549988,305.920013,40,20
308.799988,305.600006,36,16
314.149994,306.630005,32,12
313.410004,308.01001,28,8
311.420013,306.98999,24,4
309.980011,305.279999,20,4
313.73999,309.619995,16,4
314.100006,309.040009,12,4
310.369995,308.279999,8,4
310.200012,306.869995,4,4
308.410004,305.480011,4,4
307.299988,300.5,4,4
305.269989,301.769989,4,4
305.559998,300.25,4,4
305.619995,300.01001,4,4
305.779999,302.01001,4,4
306.149994,303.410004,4,4
305.619995,302.079987,4,4
308.100006,301.450012,4,4
312.660004,308.5,4,4
317.290009,312.429993,4,4
316.5,310.230011,4,72
312.679993,309.25,4,68
313.179993,303.940002,4,64
306.720001,301.920013,4,60
306.589996,300.76001,4,56
307.549988,301.679993,4,52
300.549988,294.899994,4,100
304.429993,295.359985,4,96
301.299988,292.420013,4,100
301.51001,295.059998,4,96
305.630005,302.25,4,92
307.049988,299.649994,4,88
302.079987,296.299988,4,84
299.5,293.390015,4,80
303.209991,298.970001,4,76
302.720001,300.589996,36,72
305.380005,303.359985,32,68
307.470001,302.579987,28,64
308.809998,304.98999,24,60
311.5,308.23999,20,56
311,307.070007,16,52
311.070007,307.850006,12,48
313.220001,309.049988,8,44
313.700012,310.329987,4,40
315.940002,311.769989,4,36
316.920013,313.720001,4,32
318.809998,313.26001,100,28
321.880005,318.119995,100,24
323.980011,319,100,20
325.720001,322.5,100,16
324.549988,322.76001,96,12
324.369995,321.320007,92,8
324.850006,321.609985,88,4
326.399994,324.299988,100,4
327.100006,324.109985,100,4
323.73999,319,96,4
326.910004,322.109985,92,4
328.809998,325.190002,100,4
331.839996,328.570007,100,4
330.25,322.76001,96,4
328.070007,323.059998,92,4
325.98999,317.410004,88,4
325.160004,322.619995,84,4
330.690002,325.790009,80,4
326.880005,323.480011,76,4
326.160004,320.149994,72,4
322.959991,319.809998,68,4
324.23999,320.540009,64,4
323.829987,320.130005,60,4
324.690002,322.359985,56,4
328.26001,324.820007,52,4
329.980011,325.850006,48,4
333.940002,329.119995,100,4
331.48999,328.350006,96,4
329.269989,322.970001,92,4
323,319.559998,88,4
320.559998,317.709991,84,4
322.630005,319.670013,80,4
322.470001,319,76,4
322.410004,319.390015,72,4
323.220001,319.529999,68,4
330.670013,324.420013,64,4
330.890015,327.570007,60,4
334.160004,328.679993,100,4
335.820007,331.429993,100,4
336.320007,334.100006,100,4
337.589996,334.920013,100,4
335.350006,332.220001,96,4
336.619995,332.200012,92,4
340.380005,334.089996,100,4
341.679993,335.540009,100,4
341.299988,337.660004,96,4
339.279999,336.619995,92,4
341.350006,336.369995,88,4
338.850006,335.660004,84,4
337.470001,334.190002,80,4
335.829987,331.839996,76,4
336.730011,334.369995,72,4
336.399994,332.609985,68,4
337.01001,334.140015,64,4
342.5,338.399994,100,4
342.079987,338.410004,96,4
341.890015,338.700012,92,4
341.799988,338.910004,88,4
344.070007,340.390015,100,4
343.480011,339.869995,96,4
343.839996,340.929993,92,4
346.440002,344.309998,100,4
346.209991,343.450012,96,4
345,340.51001,92,4
345.720001,341.089996,88,4
347.25,343.540009,100,4
345.380005,341.98999,96,4
346.790009,342.850006,92,4
347.619995,345.100006,100,4
351.190002,346.279999,100,4
349.660004,345.540009,96,4
351.089996,347.519989,92,4
351.269989,348.600006,100,4
351,348.320007,96,4
352.329987,350.209991,100,4
353.420013,351.25,100,4
352.890015,349.690002,96,4
354.470001,349.420013,100,4
355.109985,349.390015,100,4
364.630005,355.149994,100,4
364.25,358.850006,96,4
364.429993,356.059998,92,4
362.350006,355.920013,88,4
359.25,353.200012,84,4
358.950012,356.809998,80,4
357.920013,353.670013,76,4
358.720001,353.380005,72,4
356.299988,351.880005,68,4
354.299988,351.25,64,4
354.179993,349.609985,60,4
353.5,349.660004,56,4
354.320007,351.540009,52,4
357.230011,354.130005,48,4
357.350006,352.920013,44,4
358.410004,354.529999,40,4
358.589996,354.01001,36,4
362.679993,358.600006,32,4
362.470001,359.25,28,4
363.390015,360.600006,24,4
366.470001,360,100,4
362.799988,359.26001,96,4
363.299988,360.869995,92,4
364.829987,361.769989,88,4
366.609985,364.51001,100,4
370.429993,365.470001,100,4
370.839996,365.970001,100,4
370.220001,368.26001,96,4
370.200012,367.519989,92,4
371.329987,367.790009,100,4
373.339996,368.459991,100,4
371.339996,366.730011,96,4
367.200012,362.940002,92,4
363.420013,359.76001,88,4
361.890015,357.269989,84,4
360.790009,357.950012,80,4
360.519989,354.269989,76,4
359.470001,356.670013,72,4
357.5,348.549988,68,4
350,345.410004,64,100
348.23999,342.130005,60,100
344.01001,339.51001,56,100
345.940002,342.369995,52,96
348.76001,341.859985,48,92
345.899994,342.829987,44,88
349.51001,345.5,40,84
349.600006,344.920013,36,80
348.660004,343.019989,32,76
348.440002,343.880005,28,72
349.940002,345.829987,24,68
348.410004,344.149994,20,64
344.829987,339.959991,16,60
342.690002,338.450012,12,100
340,334.350006,8,100
338.880005,333.48999,4,100
339.850006,337.769989,4,96
339.619995,336.549988,4,92
338.320007,335.459991,4,88
336.190002,330.579987,4,100
338.359985,332.179993,4,96
341.48999,337.5,4,92
345.329987,340.579987,4,88
349.390015,344.5,4,84
354.350006,349.790009,4,80
354.029999,344.059998,4,76
346.950012,344.299988,4,72
348,344.690002,4,68
350.109985,346.880005,4,64
351.200012,348.600006,4,60
350.649994,348.809998,4,56
355.950012,351.25,4,52
357.309998,354.480011,4,48
360,357.230011,4,44
360.559998,358.070007,4,40
362.609985,358.179993,4,36
363.029999,360.25,4,32
362.459991,360.049988,4,28
363.190002,361.23999,4,24
362.640015,359.579987,4,20
362.119995,359.209991,4,16
361.519989,358.299988,4,12
