Close,Upper,Middle,Lower
318.600006,0,0,0
315.839996,0,0,0
316.149994,0,0,0
310.570007,0,0,0
307.779999,0,0,0
305.820007,0,0,0
305.98999,0,0,0
306.390015,0,0,0
311.450012,0,0,0
312.329987,0,0,0
309.290009,0,0,0
301.910004,0,0,0
300,0,0,0
300.029999,0,0,0
302,0,0,0
307.820007,0,0,0
302.690002,0,0,0
306.48999,0,0,0
305.549988,0,0,0
303.429993,369.01,307.51,246.01
309.059998,369.19,307.65,246.12
308.899994,369.33,307.77,246.22
309.910004,369.57,307.98,246.38
314.549988,370.32,308.6,246.88
312.899994,370.81,309.01,247.21
318.690002,371.92,309.93,247.95
315.529999,372.56,310.47,248.37
316.350006,373.23,311.03,248.82
320.369995,374.3,311.92,249.53
318.929993,375.1,312.58,250.07
317.640015,375.68,313.07,250.45
314.859985,375.88,313.24,250.59
308.299988,375.32,312.77,250.21
305.230011,374.46,312.05,249.64
309.869995,374.21,311.84,249.47
310.420013,374.05,311.71,249.36
311.299988,374,311.67,249.33
311.899994,374.03,311.69,249.35
310.950012,373.94,311.62,249.3
309.170013,373.66,311.39,249.11
307.329987,373.2,311,248.8
311.519989,373.26,311.05,248.84
310.570007,373.2,311,248.8
311.859985,373.3,311.09,248.87
308.51001,373.01,310.84,248.67
308.429993,372.73,310.61,248.49
312.970001,373,310.84,248.67
308.480011,372.73,310.61,248.49
307.209991,372.34,310.29,248.23
309.890015,372.3,310.25,248.2
313.73999,372.7,310.58,248.47
310.790009,372.72,310.6,248.48
309.630005,372.61,310.51,248.41
308.179993,372.34,310.29,248.23
308.23999,372.11,310.09,248.07
302.720001,371.27,309.39,247.51
303.160004,370.56,308.8,247.04
303.070007,369.9,308.25,246.6
304.019989,369.42,307.85,246.28
304.660004,369.05,307.54,246.04
305.179993,368.78,307.32,245.86
304.619995,368.47,307.06,245.65
307.75,368.55,307.13,245.7
312.450012,369.16,307.63,246.11
316.970001,370.23,308.52,246.82
311.119995,370.53,308.77,247.02
311.369995,370.82,309.02,247.21
304.820007,370.34,308.62,246.89
303.630005,369.77,308.14,246.51
302.880005,369.17,307.64,246.11
305.329987,368.91,307.42,245.94
297.880005,367.82,306.51,245.21
302.01001,367.3,306.08,244.87
293.51001,365.86,304.89,243.91
301.059998,365.43,304.52,243.62
303.850006,365.35,304.46,243.57
299.730011,364.81,304.01,243.21
298.369995,364.17,303.47,242.78
298.920013,363.65,303.04,242.43
302.140015,363.54,302.95,242.36
302.320007,363.47,302.89,242.31
305.299988,363.75,303.12,242.5
305.079987,363.97,303.31,242.65
308.769989,364.59,303.83,243.06
310.309998,365.33,304.45,243.56
309.070007,365.86,304.89,243.91
310.390015,366.49,305.41,244.33
312.51001,367.3,306.09,244.87
312.619995,368.05,306.71,245.37
313.700012,368.85,307.37,245.9
314.549988,369.67,308.06,246.45
318.049988,370.81,309.01,247.21
319.73999,372.04,310.03,248.03
323.790009,373.61,311.34,249.07
324.630005,375.13,312.61,250.09
323.089996,376.33,313.61,250.88
323.820007,377.49,314.58,251.66
324.329987,378.61,315.51,252.41
326.049988,379.81,316.51,253.21
324.339996,380.71,317.26,253.81
320.529999,381.08,317.57,254.05
326.230011,382.07,318.39,254.71
328.549988,383.23,319.36,255.49
330.170013,384.47,320.39,256.31
325.859985,385.09,320.91,256.73
323.220001,385.36,321.13,256.9
320,385.23,321.02,256.82
323.880005,385.55,321.3,257.04
326.140015,386.11,321.76,257.41
324.869995,386.46,322.05,257.64
322.98999,386.57,322.14,257.71
322.640015,386.63,322.19,257.75
322.48999,386.66,322.22,257.77
323.529999,386.81,322.34,257.87
323.75,386.97,322.48,257.98
327.390015,387.53,322.95,258.36
329.76001,388.31,323.59,258.88
330.390015,389.09,324.24,259.39
329.130005,389.65,324.71,259.77
323.109985,389.47,324.55,259.64
320.200012,388.97,324.14,259.31
319.019989,388.38,323.65,258.92
320.600006,388.03,323.36,258.69
322.190002,387.9,323.25,258.6
321.079987,387.65,323.04,258.43
323.119995,387.66,323.05,258.44
329.480011,388.4,323.66,258.93
328.579987,388.96,324.13,259.31
333.410004,390.02,325.02,260.01
335.420013,391.21,326.01,260.8
335.950012,392.34,326.95,261.56
335.290009,393.3,327.75,262.2
333.600006,393.97,328.3,262.64
336.390015,394.89,329.07,263.26
335.899994,395.67,329.72,263.78
339.820007,396.82,330.69,264.55
338.309998,397.69,331.41,265.13
338.670013,398.52,332.1,265.68
338.609985,399.27,332.72,266.18
336.959991,399.75,333.13,266.5
335.25,399.99,333.33,266.66
334.119995,400.08,333.4,266.72
335.339996,400.31,333.59,266.87
334.149994,400.37,333.64,266.91
336.910004,400.74,333.95,267.16
341,401.55,334.62,267.7
342,402.39,335.33,268.26
341.559998,403.1,335.92,268.74
341.459991,403.74,336.45,269.16
340.899994,404.25,336.87,269.5
341.130005,404.73,337.28,269.82
343.369995,405.43,337.86,270.29
345.350006,406.29,338.57,270.86
343.540009,406.85,339.04,271.24
341.089996,407.09,339.24,271.39
344.25,407.66,339.72,271.77
345.339996,408.3,340.25,272.2
342.429993,408.55,340.46,272.37
346.609985,409.25,341.05,272.84
345.76001,409.79,341.49,273.2
349.630005,410.72,342.27,273.82
347.579987,411.33,342.77,274.22
349.799988,412.13,343.44,274.76
349.309998,412.8,344,275.2
349.809998,413.47,344.56,275.64
351.959991,414.31,345.26,276.21
352.26001,415.11,345.93,276.74
351.190002,415.71,346.43,277.14
353.809998,416.56,347.13,277.71
349.98999,416.88,347.4,277.92
362.579987,418.62,348.85,279.08
363.730011,420.32,350.27,280.21
358.019989,421.21,351,280.8
356.980011,421.89,351.57,281.26
358.350006,422.66,352.22,281.78
358.480011,423.38,352.82,282.25
354.5,423.57,352.98,282.38
354.109985,423.7,353.08,282.47
353.190002,423.71,353.09,282.48
352.559998,423.65,353.04,282.43
352.089996,423.54,352.95,282.36
350.570007,423.27,352.73,282.18
354.26001,423.45,352.87,282.3
354.299988,423.61,353.01,282.41
355.929993,423.94,353.29,282.63
355.549988,424.2,353.5,282.8
358.290009,424.75,353.96,283.17
361.059998,425.56,354.63,283.71
360.200012,426.2,355.16,284.13
362.459991,427.03,355.86,284.69
360.470001,427.56,356.3,285.04
361.670013,428.17,356.81,285.45
361.799988,428.74,357.29,285.83
363.149994,429.41,357.84,286.27
365.519989,430.29,358.57,286.86
367.779999,431.34,359.45,287.56
367.820007,432.3,360.25,288.2
369.5,433.36,361.13,288.9
367.859985,434.12,361.77,289.42
370.429993,435.11,362.6,290.08
370.480011,436.02,363.35,290.68
366.820007,436.41,363.68,290.94
363.279999,436.37,363.64,290.91
360.160004,435.97,363.31,290.65
361.709991,435.79,363.16,290.52
359.420013,435.36,362.8,290.24
357.779999,434.79,362.32,289.86
357.059998,434.18,361.82,289.46
350.299988,432.87,360.72,288.58
348.079987,431.42,359.52,287.62
343.040009,429.54,357.95,286.36
343.690002,427.91,356.59,285.27
345.059998,426.59,355.49,284.39
346.339996,425.55,354.62,283.7
345.450012,424.5,353.75,283
348.559998,423.9,353.25,282.6
348.429993,423.35,352.79,282.24
345.660004,422.54,352.12,281.69
345.089996,421.74,351.45,281.16
346.230011,421.14,350.95,280.76
345.390015,420.5,350.42,280.34
