Close,Upper,Middle,Lower
318.600006,0,0,0
315.839996,0,0,0
316.149994,0,0,0
310.570007,0,0,0
307.779999,0,0,0
305.820007,0,0,0
305.98999,0,0,0
306.390015,0,0,0
311.450012,0,0,0
312.329987,0,0,0
309.290009,0,0,0
301.910004,0,0,0
300,0,0,0
300.029999,0,0,0
302,0,0,0
307.820007,0,0,0
302.690002,0,0,0
306.48999,0,0,0
305.549988,0,0,0
303.429993,369.01,307.51,246.01
309.059998,368.44,307.03,245.62
308.899994,368.02,306.68,245.35
309.910004,367.64,306.37,245.1
314.549988,367.88,306.57,245.26
312.899994,368.19,306.83,245.46
318.690002,368.96,307.47,245.98
315.529999,369.54,307.95,246.36
316.350006,370.13,308.44,246.76
320.369995,370.67,308.89,247.11
318.929993,371.06,309.22,247.38
317.640015,371.56,309.64,247.71
314.859985,372.34,310.28,248.23
308.299988,372.84,310.7,248.56
305.230011,373.15,310.96,248.77
309.869995,373.62,311.35,249.08
310.420013,373.78,311.48,249.19
311.299988,374.3,311.91,249.53
311.899994,374.62,312.18,249.75
310.950012,374.95,312.45,249.96
309.170013,375.29,312.74,250.19
307.329987,375.19,312.65,250.12
311.519989,375.34,312.79,250.23
310.570007,375.38,312.82,250.26
311.859985,375.22,312.68,250.15
308.51001,374.96,312.46,249.97
308.429993,374.34,311.95,249.56
312.970001,374.19,311.82,249.46
308.480011,373.72,311.43,249.14
307.209991,372.93,310.77,248.62
309.890015,372.38,310.32,248.26
313.73999,372.15,310.13,248.1
310.790009,371.91,309.92,247.94
309.630005,371.99,309.99,247.99
308.179993,372.16,310.14,248.11
308.23999,372.07,310.05,248.04
302.720001,371.6,309.67,247.74
303.160004,371.11,309.26,247.41
303.070007,370.59,308.82,247.06
304.019989,370.17,308.47,246.78
304.660004,369.9,308.25,246.6
305.179993,369.77,308.14,246.51
304.619995,369.36,307.8,246.24
307.75,369.19,307.66,246.12
312.450012,369.22,307.69,246.15
316.970001,369.73,308.11,246.49
311.119995,369.89,308.24,246.59
311.369995,369.79,308.16,246.53
304.820007,369.58,307.98,246.38
303.630005,369.36,307.8,246.24
302.880005,368.94,307.45,245.96
305.329987,368.44,307.03,245.62
297.880005,367.66,306.38,245.11
302.01001,367.2,306,244.8
293.51001,366.32,305.27,244.22
301.059998,365.89,304.91,243.93
303.850006,365.96,304.97,243.97
299.730011,365.75,304.8,243.84
298.369995,365.47,304.56,243.65
298.920013,365.17,304.31,243.44
302.140015,365.02,304.18,243.34
302.320007,364.84,304.04,243.23
305.299988,364.88,304.07,243.26
305.079987,364.72,303.94,243.15
308.769989,364.5,303.75,243
310.309998,364.1,303.42,242.74
309.070007,363.98,303.32,242.65
310.390015,363.92,303.27,242.61
312.51001,364.38,303.65,242.92
312.619995,364.92,304.1,243.28
313.700012,365.57,304.64,243.71
314.549988,366.13,305.1,244.08
318.049988,367.34,306.11,244.89
319.73999,368.4,307,245.6
323.790009,370.22,308.51,246.81
324.630005,371.63,309.69,247.75
323.089996,372.78,310.65,248.52
323.820007,374.23,311.86,249.49
324.329987,375.79,313.16,250.53
326.049988,377.42,314.51,251.61
324.339996,378.75,315.62,252.5
320.529999,379.84,316.53,253.23
326.230011,381.1,317.58,254.06
328.549988,382.5,318.75,255
330.170013,383.79,319.82,255.86
325.859985,384.72,320.6,256.48
323.220001,385.57,321.31,257.05
320,386.15,321.79,257.43
323.880005,386.83,322.36,257.89
326.140015,387.64,323.03,258.43
324.869995,388.31,323.59,258.87
322.98999,388.82,324.01,259.21
322.640015,389.09,324.24,259.39
322.48999,389.26,324.38,259.5
323.529999,389.24,324.37,259.49
323.75,389.19,324.32,259.46
327.390015,389.45,324.54,259.63
329.76001,389.8,324.84,259.87
330.390015,390.17,325.14,260.11
329.130005,390.35,325.29,260.23
323.109985,390.28,325.23,260.19
320.200012,390.26,325.22,260.17
319.019989,389.83,324.85,259.88
320.600006,389.35,324.46,259.57
322.190002,388.87,324.06,259.25
321.079987,388.58,323.82,259.06
323.119995,388.58,323.81,259.05
329.480011,389.15,324.29,259.43
328.579987,389.43,324.52,259.62
333.410004,389.86,324.89,259.91
335.420013,390.5,325.41,260.33
335.950012,391.27,326.06,260.85
335.290009,392.03,326.69,261.36
333.600006,392.7,327.25,261.8
336.390015,393.47,327.89,262.31
335.899994,394.2,328.5,262.8
339.820007,394.95,329.12,263.3
338.309998,395.46,329.55,263.64
338.670013,395.96,329.96,263.97
338.609985,396.53,330.44,264.35
336.959991,397.36,331.13,264.9
335.25,398.26,331.88,265.51
334.119995,399.17,332.64,266.11
335.339996,400.05,333.37,266.7
334.149994,400.77,333.97,267.18
336.910004,401.72,334.76,267.81
341,402.79,335.66,268.53
342,403.54,336.28,269.03
341.559998,404.32,336.93,269.55
341.459991,404.8,337.34,269.87
340.899994,405.13,337.61,270.09
341.130005,405.44,337.87,270.29
343.369995,405.93,338.27,270.62
345.350006,406.63,338.86,271.09
343.540009,407.06,339.22,271.37
341.089996,407.37,339.48,271.58
344.25,407.64,339.7,271.76
345.339996,408.06,340.05,272.04
342.429993,408.29,340.24,272.19
346.609985,408.77,340.64,272.51
345.76001,409.29,341.08,272.86
349.630005,410.16,341.8,273.44
347.579987,410.96,342.47,273.98
349.799988,411.83,343.19,274.55
349.309998,412.74,343.95,275.16
349.809998,413.52,344.6,275.68
351.959991,414.17,345.14,276.12
352.26001,414.79,345.66,276.53
351.190002,415.37,346.14,276.91
353.809998,416.11,346.76,277.4
349.98999,416.65,347.21,277.77
362.579987,417.94,348.28,278.63
363.730011,419.16,349.3,279.44
358.019989,419.92,349.93,279.95
356.980011,420.73,350.61,280.49
358.350006,421.76,351.47,281.18
358.480011,422.62,352.18,281.74
354.5,423.17,352.64,282.11
354.109985,423.87,353.22,282.58
353.190002,424.26,353.55,282.84
352.559998,424.67,353.89,283.11
352.089996,424.82,354.01,283.21
350.570007,425,354.16,283.33
354.26001,425.26,354.39,283.51
354.299988,425.56,354.64,283.71
355.929993,425.93,354.94,283.95
355.549988,426.15,355.12,284.1
358.290009,426.51,355.42,284.34
361.059998,427.1,355.92,284.73
360.200012,427.48,356.24,284.99
362.459991,428.23,356.86,285.49
360.470001,428.11,356.76,285.4
361.670013,427.98,356.65,285.32
361.799988,428.21,356.84,285.47
363.149994,428.58,357.15,285.72
365.519989,429.01,357.51,286.01
367.779999,429.57,357.97,286.38
367.820007,430.37,358.64,286.91
369.5,431.29,359.41,287.53
367.859985,432.17,360.14,288.11
370.429993,433.24,361.04,288.83
370.480011,434.35,361.95,289.56
366.820007,435.32,362.77,290.21
363.279999,435.86,363.22,290.57
360.160004,436.21,363.51,290.81
361.709991,436.56,363.8,291.04
359.420013,436.79,363.99,291.2
357.779999,436.76,363.97,291.17
357.059998,436.52,363.77,291.01
350.299988,435.93,363.27,290.62
348.079987,435.07,362.55,290.04
343.040009,434.02,361.68,289.35
343.690002,432.94,360.78,288.63
345.059998,431.94,359.95,287.96
346.339996,430.93,359.11,287.29
345.450012,429.72,358.1,286.48
348.559998,428.57,357.14,285.71
348.429993,427.41,356.17,284.94
345.660004,425.98,354.98,283.98
345.089996,424.61,353.84,283.07
346.230011,423.16,352.63,282.11
345.390015,421.65,351.38,281.1
