Close,Kama
110.46,0
109.80,0
110.17,0
109.82,0
110.15,0
109.31,0
109.05,0
107.94,0
107.76,0
109.24,0
109.40,109.24
108.50,109.22
107.96,109.12
108.55,109.10
108.85,109.09
110.44,109.12
109.89,109.14
110.70,109.28
110.79,109.44
110.22,109.46
110.00,109.47
109.27,109.46
106.69,109.39
107.07,109.32
107.92,109.29
107.95,109.18
107.70,109.08
107.97,108.95
106.09,108.42
106.03,108.02
107.65,108.00
109.54,108.01
110.26,108.26
110.38,108.48
111.94,108.91
113.59,109.67
113.98,110.49
113.91,111.11
112.62,111.46
112.20,111.61
111.10,111.57
110.18,111.55
111.13,111.54
111.55,111.54
112.08,111.55
111.95,111.57
111.60,111.57
111.39,111.55
112.25,111.56
