High,Low,Close,K,D,J
318.600006,308.700012,318.600006,0,0,0
319.559998,313.299988,315.839996,0,0,0
316.380005,312.75,316.149994,0,0,0
315.660004,308.730011,310.570007,0,0,0
310.290009,306.350006,307.779999,0,0,0
309.380005,304.920013,305.820007,0,0,0
307.48999,305.089996,305.98999,0,0,0
308.339996,304.709991,306.390015,0,0,0
311.910004,305.459991,311.450012,0,0,0
318.910004,310.820007,312.329987,0,0,0
316.359985,308.399994,309.290009,0,0,0
306.959991,299.450012,301.910004,0,0,0
302.470001,297.76001,300,18.5,31.18,-6.88
301.480011,297.149994,300.029999,12.16,20.91,-5.35
304.190002,297,302,15.55,15.4,15.85
308.540009,304.160004,307.820007,28.48,18.73,47.98
306.5,297.640015,302.690002,32.72,25.58,47.01
306.570007,300.929993,306.48999,39.56,33.59,51.49
308.579987,304.649994,305.549988,37.82,36.7,40.05
307.459991,303.26001,303.429993,47.67,41.68,59.64
309.380005,305.23999,309.059998,65.7,50.4,96.32
309.040009,305.619995,308.899994,83.02,65.46,118.14
312.390015,307.380005,309.910004,92.47,80.4,116.62
316.890015,311.25,314.549988,89.28,88.26,91.33
314.230011,310,312.899994,83.67,88.48,74.05
320.160004,313.380005,318.690002,86.49,86.48,86.51
320.5,314.75,315.529999,80.93,83.7,75.41
316.799988,313.339996,316.350006,79.82,82.41,74.63
320.570007,316.600006,320.369995,81.93,80.89,84.01
321.320007,317.720001,318.929993,86.47,82.74,93.92
318.420013,315.790009,317.640015,85.69,84.7,87.68
318.519989,314.25,314.859985,67.1,79.75,41.8
315.540009,307.75,308.299988,40.2,64.33,-8.07
307.23999,303.859985,305.230011,18.28,41.86,-28.89
310.01001,304.359985,309.869995,15.44,24.64,-2.95
312.730011,306.850006,310.420013,26.61,20.11,39.62
312.829987,307.5,311.299988,38.2,26.75,61.1
312.549988,307.709991,311.899994,42.08,35.63,54.97
313.679993,309.579987,310.950012,45.67,41.98,53.05
311.730011,308.339996,309.170013,43.54,43.77,43.1
309.51001,306.809998,307.329987,38.1,42.44,29.42
311.859985,305.790009,311.519989,47.98,43.21,57.52
312.670013,306.380005,310.570007,58.11,48.06,78.22
312.600006,308.299988,311.859985,73.86,59.98,101.6
311.549988,305.920013,308.51001,59.35,63.77,50.49
308.799988,305.600006,308.429993,48.81,60.67,25.09
314.149994,306.630005,312.970001,51.9,53.35,48.99
313.410004,308.01001,308.480011,51.64,50.78,53.34
311.420013,306.98999,307.209991,46.24,49.92,38.86
309.980011,305.279999,309.890015,34.83,44.23,16.02
313.73999,309.619995,313.73999,55.39,45.49,75.21
314.100006,309.040009,310.790009,69.82,53.35,102.77
310.369995,308.279999,309.630005,68.85,64.69,77.16
310.200012,306.869995,308.179993,47.95,62.21,19.44
308.410004,305.480011,308.23999,38.37,51.72,11.66
307.299988,300.5,302.720001,27.46,37.93,6.53
305.269989,301.769989,303.160004,23.08,29.64,9.98
305.559998,300.25,303.070007,18.75,23.1,10.05
305.619995,300.01001,304.019989,22.79,21.54,25.3
305.779999,302.01001,304.660004,27.27,22.94,35.95
306.149994,303.410004,305.179993,37.12,29.06,53.24
305.619995,302.079987,304.619995,42.72,35.7,56.74
308.100006,301.450012,307.75,62.43,47.42,92.44
312.660004,308.5,312.450012,78.57,61.24,113.24
317.290009,312.429993,316.970001,96.21,79.07,130.49
316.5,310.230011,311.119995,86.93,87.24,86.31
312.679993,309.25,311.369995,76.06,86.4,55.38
313.179993,303.940002,304.820007,50.44,71.14,9.03
306.720001,301.920013,303.630005,33.59,53.36,-5.95
306.589996,300.76001,302.880005,15.95,33.33,-18.79
307.549988,301.679993,305.329987,18.08,22.54,9.15
300.549988,294.899994,297.880005,17.93,17.32,19.14
304.429993,295.359985,302.01001,24.24,20.08,32.55
301.299988,292.420013,293.51001,16.53,19.56,10.46
301.51001,295.059998,301.059998,25.97,22.24,33.41
305.630005,302.25,303.850006,33.73,25.41,50.38
307.049988,299.649994,299.730011,48.33,36.01,72.97
302.079987,296.299988,298.369995,47.57,43.21,56.28
299.5,293.390015,298.920013,43.53,46.48,37.65
303.209991,298.970001,302.140015,49.58,46.89,54.94
302.720001,300.589996,302.320007,59.02,50.71,75.65
305.380005,303.359985,305.299988,74.05,60.88,100.38
307.470001,302.579987,305.079987,79.58,70.88,96.97
308.809998,304.98999,308.769989,90.27,81.3,108.21
311.5,308.23999,310.309998,92.07,87.3,101.59
311,307.070007,309.070007,93.25,91.86,96.03
311.070007,307.850006,310.390015,91.29,92.2,89.48
313.220001,309.049988,312.51001,91.82,92.12,91.23
313.700012,310.329987,312.619995,93.55,92.22,96.21
315.940002,311.769989,313.700012,90,91.79,86.43
316.920013,313.720001,314.549988,86.16,89.9,78.66
318.809998,313.26001,318.049988,87.07,87.74,85.72
321.880005,318.119995,319.73999,87.84,87.02,89.48
323.980011,319,323.790009,92.98,89.3,100.34
325.720001,322.5,324.630005,92.78,91.2,95.93
324.549988,322.76001,323.089996,92.33,92.69,91.61
324.369995,321.320007,323.820007,88.59,91.23,83.31
324.850006,321.609985,324.329987,87.3,89.41,83.09
326.399994,324.299988,326.049988,91.68,89.19,96.64
327.100006,324.109985,324.339996,89.14,89.37,88.68
323.73999,319,320.529999,68.08,82.97,38.3
326.910004,322.109985,326.230011,65.38,74.2,47.75
328.809998,325.190002,328.549988,71.15,68.2,77.04
331.839996,328.570007,330.170013,91.2,75.91,121.78
330.25,322.76001,325.859985,79.26,80.54,76.7
328.070007,323.059998,323.220001,57.76,76.07,21.14
325.98999,317.410004,320,34.75,57.26,-10.27
325.160004,322.619995,323.880005,31.88,41.46,12.72
330.690002,325.790009,326.140015,41.09,35.91,51.47
326.880005,323.480011,324.869995,52.34,41.77,73.48
