Close,Kst,Signal
318.600006,,
315.839996,,
316.149994,,
310.570007,,
307.779999,,
305.820007,,
305.989990,,
306.390015,,
311.450012,,
312.329987,,
309.290009,,
301.910004,,
300.000000,,
300.029999,,
302.000000,,
307.820007,,
302.690002,,
306.489990,,
305.549988,,
303.429993,,
309.059998,,
308.899994,,
309.910004,,
314.549988,,
312.899994,,
318.690002,,
315.529999,,
316.350006,,
320.369995,,
318.929993,,
317.640015,,
314.859985,,
308.299988,,
305.230011,,
309.869995,,
310.420013,,
311.299988,,
311.899994,,
310.950012,,
309.170013,,
307.329987,,
311.519989,,
310.570007,,
311.859985,,
308.510010,,
308.429993,,
312.970001,,
308.480011,,
307.209991,,
309.890015,,
313.739990,,
310.790009,,
309.630005,-0.00,-0.01
308.179993,-0.01,-0.01
308.239990,-0.05,-0.02
302.720001,-0.12,-0.03
303.160004,-0.16,-0.04
303.070007,-0.16,-0.06
304.019989,-0.13,-0.08
304.660004,-0.11,-0.09
305.179993,-0.11,-0.10
304.619995,-0.09,-0.11
307.750000,-0.10,-0.12
312.450012,-0.16,-0.13
316.970001,-0.18,-0.14
311.119995,-0.21,-0.15
311.369995,-0.24,-0.16
304.820007,-0.22,-0.16
303.630005,-0.10,-0.16
302.880005,-0.06,-0.17
305.329987,0.06,-0.16
297.880005,0.10,-0.12
302.010010,0.22,-0.07
293.510010,0.34,-0.01
301.059998,0.44,0.07
303.850006,0.52,0.16
299.730011,0.56,0.24
298.369995,0.59,0.32
298.920013,0.59,0.40
302.140015,0.56,0.46
302.320007,0.53,0.50
305.299988,0.51,0.52
305.079987,0.40,0.53
308.769989,0.37,0.52
310.309998,0.35,0.49
309.070007,0.31,0.46
310.390015,0.25,0.41
312.510010,0.23,0.37
312.619995,0.11,0.32
313.700012,0.13,0.28
314.549988,0.17,0.23
318.049988,0.22,0.20
319.739990,0.28,0.17
323.790009,0.31,0.14
324.630005,0.34,0.13
323.089996,0.35,0.14
323.820007,0.35,0.16
324.329987,0.34,0.18
326.049988,0.34,0.21
324.339996,0.33,0.24
320.529999,0.31,0.27
326.230011,0.32,0.29
328.549988,0.33,0.31
330.170013,0.33,0.33
325.859985,0.33,0.34
323.220001,0.33,0.33
320.000000,0.34,0.33
323.880005,0.35,0.33
326.140015,0.37,0.34
324.869995,0.36,0.34
322.989990,0.35,0.34
322.640015,0.36,0.35
322.489990,0.40,0.36
323.529999,0.43,0.37
323.750000,0.42,0.38
327.390015,0.40,0.39
329.760010,0.36,0.38
330.390015,0.30,0.37
329.130005,0.23,0.36
323.109985,0.21,0.35
320.200012,0.20,0.33
319.019989,0.20,0.30
320.600006,0.22,0.28
322.190002,0.26,0.26
321.079987,0.30,0.25
323.119995,0.36,0.25
329.480011,0.36,0.25
328.579987,0.33,0.26
333.410004,0.28,0.27
335.420013,0.15,0.28
335.950012,0.00,0.28
335.290009,-0.07,0.26
333.600006,-0.18,0.22
336.390015,-0.32,0.16
335.899994,-0.39,0.10
339.820007,-0.41,0.02
338.309998,-0.43,-0.06
338.670013,-0.47,-0.14
338.609985,-0.47,-0.22
336.959991,-0.50,-0.29
335.250000,-0.52,-0.36
334.119995,-0.49,-0.40
335.339996,-0.37,-0.43
334.149994,-0.31,-0.44
336.910004,-0.19,-0.44
341.000000,-0.08,-0.42
342.000000,0.05,-0.40
341.559998,0.11,-0.35
341.459991,0.24,-0.27
340.899994,0.35,-0.18
341.130005,0.43,-0.08
343.369995,,
345.350006,,
343.540009,,
341.089996,,
344.250000,,
345.339996,,
342.429993,,
346.609985,,
345.760010,,
349.630005,,
347.579987,,
349.799988,,
349.309998,,
349.809998,,
351.959991,,
352.260010,,
351.190002,,
353.809998,,
349.989990,,
362.579987,,
363.730011,,
358.019989,,
356.980011,,
358.350006,,
358.480011,,
354.500000,,
354.109985,,
353.190002,,
352.559998,,
352.089996,,
350.570007,,
354.260010,,
354.299988,,
355.929993,,
355.549988,,
358.290009,,
361.059998,,
360.200012,,
362.459991,,
360.470001,,
361.670013,,
361.799988,,
363.149994,,
365.519989,,
367.779999,,
367.820007,,
369.500000,,
367.859985,,
370.429993,,
370.480011,,
366.820007,,
363.279999,,
360.160004,,
361.709991,,
359.420013,,
357.779999,,
357.059998,,
350.299988,,
348.079987,,
343.040009,,
343.690002,,
345.059998,,
346.339996,,
345.450012,,
348.559998,,
348.429993,,
345.660004,,
345.089996,,
346.230011,,
345.390015,,
340.890015,,
338.660004,,
335.859985,,
336.839996,,
338.630005,,
336.899994,,
336.160004,,
331.709991,,
337.410004,,
341.329987,,
343.750000,,
349.019989,,
351.809998,,
346.630005,,
346.170013,,
346.299988,,
348.179993,,
350.559998,,
350.010010,,
354.250000,,
356.790009,,
359.859985,,
358.929993,,
361.329987,,
361.000000,,
361.799988,,
362.679993,,
361.339996,,
360.049988,,
358.690002,,
