Close,Macd,Signal
318.600006,0,0
315.839996,0,0
316.149994,0,0
310.570007,0,0
307.779999,0,0
305.820007,0,0
305.98999,0,0
306.390015,0,0
311.450012,0,0
312.329987,0,0
309.290009,0,0
301.910004,0,0
300,0,0
300.029999,0,0
302,0,0
307.820007,0,0
302.690002,0,0
306.48999,0,0
305.549988,0,0
303.429993,0,0
309.059998,0,0
308.899994,0,0
309.910004,0,0
314.549988,0,0
312.899994,0,0
318.690002,0,0
315.529999,0,0
316.350006,0,0
320.369995,0,0
318.929993,0,0
317.640015,0,0
314.859985,0,0
308.299988,0,0
305.230011,1.34,2.42
309.869995,1.04,2.15
310.420013,0.83,1.88
311.299988,0.73,1.65
311.899994,0.69,1.46
310.950012,0.58,1.29
309.170013,0.34,1.1
307.329987,0,0.88
311.519989,0.07,0.72
310.570007,0.05,0.58
311.859985,0.14,0.49
308.51001,-0.07,0.38
308.429993,-0.23,0.26
312.970001,0.01,0.21
308.480011,-0.17,0.13
307.209991,-0.4,0.03
309.890015,-0.37,-0.05
313.73999,-0.03,-0.05
310.790009,0,-0.04
309.630005,-0.07,-0.04
308.179993,-0.24,-0.08
308.23999,-0.36,-0.14
302.720001,-0.9,-0.29
303.160004,-1.27,-0.49
303.070007,-1.55,-0.7
304.019989,-1.68,-0.9
304.660004,-1.72,-1.06
305.179993,-1.68,-1.18
304.619995,-1.68,-1.28
307.75,-1.41,-1.31
312.450012,-0.8,-1.21
316.970001,0.04,-0.96
311.119995,0.23,-0.72
311.369995,0.4,-0.49
304.820007,0.01,-0.39
303.630005,-0.4,-0.4
302.880005,-0.77,-0.47
305.329987,-0.86,-0.55
297.880005,-1.51,-0.74
302.01001,-1.68,-0.93
293.51001,-2.46,-1.23
301.059998,-2.45,-1.48
303.850006,-2.19,-1.62
299.730011,-2.29,-1.75
298.369995,-2.45,-1.89
298.920013,-2.5,-2.02
302.140015,-2.26,-2.06
302.320007,-2.03,-2.06
305.299988,-1.59,-1.96
305.079987,-1.24,-1.82
308.769989,-0.66,-1.59
310.309998,-0.08,-1.29
309.070007,0.28,-0.97
310.390015,0.67,-0.64
312.51001,1.13,-0.29
312.619995,1.49,0.07
313.700012,1.84,0.42
314.549988,2.16,0.77
318.049988,2.66,1.15
319.73999,3.17,1.55
323.790009,3.85,2.01
324.630005,4.4,2.49
323.089996,4.66,2.92
323.820007,4.87,3.31
324.329987,5.02,3.66
326.049988,5.22,3.97
324.339996,5.18,4.21
320.529999,4.79,4.33
326.230011,4.88,4.44
328.549988,5.08,4.56
330.170013,5.3,4.71
325.859985,5.08,4.79
323.220001,4.63,4.76
320,3.98,4.6
323.880005,3.72,4.42
326.140015,3.67,4.27
324.869995,3.48,4.11
322.98999,3.14,3.92
322.640015,2.81,3.7
322.48999,2.51,3.46
323.529999,2.33,3.23
323.75,2.17,3.02
327.390015,2.32,2.88
329.76001,2.6,2.82
330.390015,2.84,2.83
329.130005,2.89,2.84
323.109985,2.42,2.76
320.200012,1.79,2.56
319.019989,1.18,2.29
320.600006,0.82,1.99
322.190002,0.65,1.73
321.079987,0.43,1.47
323.119995,0.41,1.25
329.480011,0.89,1.18
328.579987,1.19,1.19
333.410004,1.8,1.31
335.420013,2.42,1.53
335.950012,2.91,1.81
335.290009,3.22,2.09
333.600006,3.28,2.33
336.390015,3.52,2.57
335.899994,3.63,2.78
339.820007,3.98,3.02
338.309998,4.09,3.23
