Close,K,D
318.600006,0,0
315.839996,0,0
316.149994,0,0
310.570007,0,0
307.779999,0,0
305.820007,0,0
305.989990,0,0
306.390015,0,0
311.450012,0,0
312.329987,0,0
309.290009,0,0
301.910004,0,0
300.000000,0,0
300.029999,0.08,13.15
302.000000,5.49,5.59
307.820007,26.63,10.73
302.690002,33.82,21.98
306.489990,45.96,35.47
305.549988,39.82,39.87
303.429993,44.86,43.55
309.059998,60.64,48.44
308.899994,78.39,61.30
309.910004,99.41,79.48
314.549988,99.41,92.40
312.899994,95.36,98.06
318.690002,95.36,96.71
315.529999,88.46,93.06
316.350006,87.99,90.60
320.369995,87.99,88.14
318.929993,90.70,88.89
317.640015,87.88,88.86
314.859985,70.32,82.97
308.299988,41.17,66.46
305.230011,15.77,42.42
309.869995,10.22,22.39
310.420013,21.64,15.88
311.299988,35.01,22.29
311.899994,39.48,32.04
310.950012,41.97,38.82
309.170013,39.19,40.21
307.329987,31.77,37.64
311.519989,49.29,40.08
310.570007,65.39,48.81
311.859985,91.16,68.61
308.510010,68.34,74.96
308.429993,49.67,69.72
312.970001,49.96,55.99
308.480011,48.15,49.26
307.209991,40.13,46.08
309.890015,22.31,36.86
313.739990,48.84,37.09
310.790009,67.12,46.09
309.630005,63.96,59.97
308.179993,35.58,55.55
308.239990,22.56,40.70
302.720001,10.21,22.78
303.160004,6.59,13.12
303.070007,2.39,6.40
304.019989,6.32,5.10
304.660004,10.86,6.52
305.179993,19.96,12.38
304.619995,25.19,18.67
307.750000,49.70,31.62
312.450012,72.87,49.26
316.970001,97.04,73.21
311.119995,85.97,85.30
311.369995,72.54,85.18
304.820007,41.27,66.59
303.630005,21.96,45.26
302.880005,2.06,21.76
305.329987,5.80,9.94
297.880005,5.80,4.55
302.010010,13.01,8.20
293.510010,7.21,8.67
301.059998,21.30,13.84
303.850006,33.39,20.63
299.730011,50.93,35.21
298.369995,50.54,44.95
298.920013,46.50,49.33
302.140015,53.30,50.12
302.320007,68.00,55.93
305.299988,86.07,69.12
305.079987,94.45,82.84
308.769989,99.38,93.30
310.309998,99.38,97.73
309.070007,96.54,98.43
310.390015,96.54,97.48
312.510010,96.54,96.54
312.619995,100.00,97.69
313.700012,100.00,98.85
314.549988,100.00,100.00
318.049988,100.00,100.00
319.739990,100.00,100.00
323.790009,100.00,100.00
324.630005,100.00,100.00
323.089996,96.40,98.80
323.820007,94.17,96.85
324.329987,93.33,94.63
326.049988,96.94,94.81
324.339996,94.21,94.83
320.529999,72.04,87.73
326.230011,72.04,79.43
328.549988,77.00,73.70
330.170013,100.00,83.01
325.859985,85.10,87.37
323.220001,61.06,82.05
320.000000,27.73,57.96
323.880005,22.02,36.94
326.140015,32.84,27.53
324.869995,48.80,34.55
322.989990,45.89,42.51
322.640015,34.41,43.04
322.489990,26.61,35.64
323.529999,35.98,32.34
323.750000,47.68,36.76
327.390015,72.86,52.17
329.760010,87.02,69.19
330.390015,100.00,86.63
329.130005,94.68,93.90
323.109985,63.97,86.22
320.200012,30.63,63.09
319.019989,2.62,32.41
320.600006,4.63,12.63
322.190002,13.93,7.06
321.079987,19.96,12.84
323.119995,27.35,20.41
329.480011,48.72,32.01
328.579987,73.15,49.74
333.410004,94.46,72.11
335.420013,97.13,88.25
335.950012,100.00,97.20
335.290009,98.57,98.57
333.600006,93.30,97.29
336.390015,93.30,95.05
335.899994,93.50,93.37
339.820007,98.77,95.19
