Close,Wma3,Wma5
318.600006,0,0
315.839996,0,0
316.149994,316.455,0
310.570007,313.308,0
307.779999,310.105,311.994
305.820007,307.265,309.338
305.98999,306.232,307.591
306.390015,306.162,306.633
311.450012,308.853,308.013
312.329987,311.047,309.628
309.290009,310.663,309.926
301.910004,306.107,307.533
300,302.185,304.775
300.029999,300.333,302.453
302,301.01,301.549
307.820007,304.582,303.273
302.690002,304.285,303.386
306.48999,305.445,304.713
305.549988,305.387,305.295
303.429993,304.647,304.801
309.059998,306.598,306.089
308.899994,308.042,307.241
309.910004,309.432,308.316
314.549988,312.062,310.709
312.899994,312.952,311.953
318.690002,316.07,314.495
315.529999,316.145,315.341
316.350006,316.467,316.019
320.369995,318.223,317.608
318.929993,318.98,318.329
317.640015,318.525,318.217
314.859985,316.465,317.249
308.299988,312.043,314.139
305.230011,307.858,310.543
309.869995,308.062,309.502
310.420013,309.372,309.249
311.299988,310.768,309.77
311.899994,311.453,310.729
310.950012,311.325,311.131
309.170013,310.218,310.558
307.329987,308.547,309.419
311.519989,309.732,309.882
310.570007,310.347,310.014
311.859985,311.373,310.665
308.51001,309.97,310.138
308.429993,309.028,309.629
312.970001,310.713,310.559
308.480011,309.968,309.897
307.209991,308.593,308.95
309.890015,308.762,309.207
313.73999,311.368,310.655
310.790009,311.623,310.765
309.630005,310.702,310.635
308.179993,309.098,309.944
308.23999,308.452,309.209
302.720001,305.47,306.743
303.160004,303.86,305.159
303.070007,303.042,304.054
304.019989,303.56,303.703
304.660004,304.182,303.842
305.179993,304.813,304.393
304.619995,304.813,304.594
307.75,306.278,305.741
312.450012,309.578,308.142
316.970001,313.927,311.488
311.119995,313.292,312.063
311.369995,312.22,312.326
304.820007,308.053,309.955
303.630005,305.317,307.383
302.880005,303.453,305.149
305.329987,304.23,304.671
297.880005,301.197,302.096
302.01001,301.187,301.797
293.51001,297.072,298.851
301.059998,298.702,299.097
303.850006,301.197,300.395
299.730011,301.325,300.417
298.369995,299.737,299.863
298.920013,298.872,299.735
302.140015,300.438,300.32
302.320007,301.693,300.893
305.299988,303.78,302.561
305.079987,304.693,303.784
308.769989,306.962,305.79
310.309998,308.925,307.653
309.070007,309.433,308.557
310.390015,309.937,309.452
312.51001,311.23,310.714
312.619995,312.212,311.517
313.700012,313.142,312.424
314.549988,313.945,313.388
318.049988,316.158,315.153
319.73999,318.312,316.971
323.790009,321.483,319.657
324.630005,323.535,321.879
323.089996,323.72,322.858
323.820007,323.712,323.511
324.329987,323.953,323.95
326.049988,325.105,324.656
324.339996,324.908,324.641
320.529999,322.72,323.376
326.230011,324.015,324.181
328.549988,326.44,325.599
330.170013,328.973,327.276
325.859985,327.745,327.241
323.220001,325.258,326.225
320,322.05,323.957
323.880005,322.477,323.397
326.140015,324.363,323.901
324.869995,325.128,324.251
322.98999,324.142,324.041
322.640015,323.128,323.729
322.48999,322.623,323.191
323.529999,323.035,323.092
323.75,323.467,323.241
327.390015,325.533,324.677
329.76001,327.968,326.611
330.390015,329.68,328.279
329.130005,329.655,329.001
323.109985,326.33,327.343
320.200012,322.658,324.758
319.019989,320.095,322.259
320.600006,320.007,321.002
322.190002,321.132,320.928
321.079987,321.37,320.947
323.119995,322.285,321.781
329.480011,325.96,324.54
328.579987,327.97,326.302
333.410004,331.145,329.142
335.420013,333.61,331.904
335.950012,335.35,333.887
335.290009,335.532,334.794
333.600006,334.555,334.751
