High,Low,Close,Upper,Middle,Lower
318.600006,308.700012,318.600006,0,0,0
319.559998,313.299988,315.839996,0,0,0
316.380005,312.75,316.149994,0,0,0
315.660004,308.730011,310.570007,0,0,0
310.290009,306.350006,307.779999,0,0,0
309.380005,304.920013,305.820007,0,0,0
307.48999,305.089996,305.98999,0,0,0
308.339996,304.709991,306.390015,0,0,0
311.910004,305.459991,311.450012,0,0,0
318.910004,310.820007,312.329987,0,0,0
316.359985,308.399994,309.290009,0,0,0
306.959991,299.450012,301.910004,0,0,0
302.470001,297.76001,300,0,0,0
301.480011,297.149994,300.029999,0,0,0
304.190002,297,302,0,0,0
308.540009,304.160004,307.820007,0,0,0
306.5,297.640015,302.690002,0,0,0
306.570007,300.929993,306.48999,0,0,0
308.579987,304.649994,305.549988,0,0,0
307.459991,303.26001,303.429993,321.84,307.51,293.24
309.380005,305.23999,309.059998,320.79,307.03,293.63
309.040009,305.619995,308.899994,319.98,306.68,293.53
312.390015,307.380005,309.910004,319.92,306.37,293.12
316.890015,311.25,314.549988,319.85,306.57,293.37
314.230011,310,312.899994,320.07,306.83,293.53
320.160004,313.380005,318.690002,320.85,307.47,293.72
320.5,314.75,315.529999,321.84,307.95,293.88
316.799988,313.339996,316.350006,322.24,308.44,294.32
320.570007,316.600006,320.369995,322.42,308.89,295.12
321.320007,317.720001,318.929993,322.09,309.22,295.91
318.420013,315.790009,317.640015,321.65,309.64,296.8
318.519989,314.25,314.859985,321.9,310.28,297.86
315.540009,307.75,308.299988,322.86,310.7,298.06
307.23999,303.859985,305.230011,323.06,310.96,298.49
310.01001,304.359985,309.869995,323.19,311.35,299.01
312.730011,306.850006,310.420013,323.55,311.48,298.99
312.829987,307.5,311.299988,323.51,311.91,299.83
312.549988,307.709991,311.899994,323.72,312.18,300.25
313.679993,309.579987,310.950012,324,312.45,300.48
311.730011,308.339996,309.170013,324.13,312.74,300.81
309.51001,306.809998,307.329987,323.99,312.65,301.03
311.859985,305.790009,311.519989,324.4,312.79,300.78
312.670013,306.380005,310.570007,324.54,312.82,300.61
312.600006,308.299988,311.859985,324.19,312.68,300.59
311.549988,305.920013,308.51001,324.2,312.46,300.25
308.799988,305.600006,308.429993,323.27,311.95,300.21
314.149994,306.630005,312.970001,323.13,311.82,299.63
313.410004,308.01001,308.480011,323.16,311.43,299.17
311.420013,306.98999,307.209991,322.75,310.77,298.65
309.980011,305.279999,309.890015,322.29,310.32,297.92
313.73999,309.619995,313.73999,322.21,310.13,297.46
314.100006,309.040009,310.790009,322.07,309.92,297.12
310.369995,308.279999,309.630005,321.23,309.99,297.71
310.200012,306.869995,308.179993,321.37,310.14,297.87
308.410004,305.480011,308.23999,321.02,310.05,298.19
307.299988,300.5,302.720001,320.84,309.67,297.78
305.269989,301.769989,303.160004,320.28,309.26,297.68
305.559998,300.25,303.070007,319.98,308.82,297.26
305.619995,300.01001,304.019989,319.73,308.47,296.63
305.779999,302.01001,304.660004,319.47,308.25,296.28
306.149994,303.410004,305.179993,319.3,308.14,296.1
305.619995,302.079987,304.619995,318.73,307.8,296.17
308.100006,301.450012,307.75,318.54,307.66,295.89
312.660004,308.5,312.450012,318.53,307.69,295.91
317.290009,312.429993,316.970001,318.74,308.11,296.31
316.5,310.230011,311.119995,319.44,308.24,296.24
312.679993,309.25,311.369995,318.95,308.16,296.77
313.179993,303.940002,304.820007,319.33,307.98,296.19
306.720001,301.920013,303.630005,319.13,307.8,295.9
306.589996,300.76001,302.880005,319.08,307.45,295.57
307.549988,301.679993,305.329987,318.95,307.03,295
300.549988,294.899994,297.880005,318.33,306.38,294.23
304.429993,295.359985,302.01001,318.74,306,292.9
301.299988,292.420013,293.51001,318.86,305.27,291.64
301.51001,295.059998,301.059998,318.88,304.91,290.77
305.630005,302.25,303.850006,318.45,304.97,291.19
307.049988,299.649994,299.730011,318.93,304.8,290.7
302.079987,296.299988,298.369995,318.8,304.56,290.46
299.5,293.390015,298.920013,318.55,304.31,290.08
303.209991,298.970001,302.140015,318.47,304.18,289.88
302.720001,300.589996,302.320007,318.24,304.04,289.8
305.380005,303.359985,305.299988,318.07,304.07,290.02
307.470001,302.579987,305.079987,317.86,303.94,290.25
308.809998,304.98999,308.769989,317.63,303.75,290.1
311.5,308.23999,310.309998,317.18,303.42,290.05
311,307.070007,309.070007,316.67,303.32,290.12
311.070007,307.850006,310.390015,316.57,303.27,290.07
313.220001,309.049988,312.51001,316.05,303.65,290.83
313.700012,310.329987,312.619995,316.26,304.1,291.39
315.940002,311.769989,313.700012,316.55,304.64,292.1
316.920013,313.720001,314.549988,316.75,305.1,292.97
318.809998,313.26001,318.049988,317.65,306.11,293.89
321.880005,318.119995,319.73999,317.98,307,295.55
323.980011,319,323.790009,318.72,308.51,297.26
325.720001,322.5,324.630005,319.6,309.69,298.95
324.549988,322.76001,323.089996,320.39,310.65,300.13
324.369995,321.320007,323.820007,320.81,311.86,301.64
324.850006,321.609985,324.329987,321.69,313.16,303.16
326.399994,324.299988,326.049988,322.63,314.51,305.1
327.100006,324.109985,324.339996,323.7,315.62,306.48
323.73999,319,320.529999,325.01,316.53,307.14
326.910004,322.109985,326.230011,326.37,317.58,307.81
328.809998,325.190002,328.549988,327.31,318.75,309.06
331.839996,328.570007,330.170013,328.4,319.82,310.29
330.25,322.76001,325.859985,329.77,320.6,310.6
328.070007,323.059998,323.220001,330.73,321.31,311.3
325.98999,317.410004,320,332.02,321.79,311.25
325.160004,322.619995,323.880005,332.46,322.36,312.09
330.690002,325.790009,326.140015,333.46,323.03,312.71
326.880005,323.480011,324.869995,333.93,323.59,313.37
326.160004,320.149994,322.98999,334.68,324.01,313.42
322.959991,319.809998,322.640015,334.64,324.24,313.98
