Close,Upper,Middle,Lower
318.600006,0,0,0
315.839996,0,0,0
316.149994,0,0,0
310.570007,0,0,0
307.779999,0,0,0
305.820007,0,0,0
305.98999,0,0,0
306.390015,0,0,0
311.450012,0,0,0
312.329987,0,0,0
309.290009,0,0,0
301.910004,0,0,0
300,0,0,0
300.029999,0,0,0
302,0,0,0
307.820007,0,0,0
302.690002,0,0,0
306.48999,0,0,0
305.549988,0,0,0
303.429993,317.93,307.51,297.08
309.059998,316.18,307.03,297.88
308.899994,314.95,306.68,298.41
309.910004,313.59,306.37,299.15
314.549988,314.43,306.57,298.7
312.899994,315.15,306.83,298.5
318.690002,317.25,307.47,297.69
315.529999,318.3,307.95,297.59
316.350006,319.39,308.44,297.49
320.369995,320.96,308.89,296.82
318.929993,321.99,309.22,296.45
317.640015,322.93,309.64,296.35
314.859985,323.26,310.28,297.31
308.299988,322.84,310.7,298.56
305.230011,322.38,310.96,299.54
309.869995,322.02,311.35,300.68
310.420013,322.04,311.48,300.92
311.299988,321.68,311.91,302.15
311.899994,321.62,312.18,302.74
310.950012,321.42,312.45,303.49
309.170013,320.86,312.74,304.63
307.329987,320.96,312.65,304.35
311.519989,320.93,312.79,304.64
310.570007,320.92,312.82,304.72
311.859985,320.76,312.68,304.61
308.51001,320.74,312.46,304.19
308.429993,319.88,311.95,304.02
312.970001,319.6,311.82,304.05
308.480011,319.05,311.43,303.81
307.209991,317.4,310.77,304.15
309.890015,315.79,310.32,304.85
313.73999,314.75,310.13,305.5
310.790009,314.02,309.92,305.82
309.630005,314.02,309.99,305.95
308.179993,313.65,310.14,306.63
308.23999,313.66,310.05,306.45
302.720001,314.48,309.67,304.86
303.160004,314.78,309.26,303.75
303.070007,314.81,308.82,302.83
304.019989,314.73,308.47,302.22
304.660004,314.71,308.25,301.79
305.179993,314.73,308.14,301.55
304.619995,314.36,307.8,301.23
307.75,314.1,307.66,301.21
312.450012,314.21,307.69,301.16
316.970001,315.79,308.11,300.43
311.119995,316.03,308.24,300.45
311.369995,315.79,308.16,300.54
304.820007,315.74,307.98,300.22
303.630005,315.79,307.8,299.81
302.880005,315.65,307.45,299.25
305.329987,314.75,307.03,299.31
297.880005,314.86,306.38,297.91
302.01001,314.54,306,297.46
293.51001,315.32,305.27,295.22
301.059998,315.02,304.91,294.8
303.850006,315.04,304.97,294.89
299.730011,315.1,304.8,294.49
298.369995,315.22,304.56,293.9
298.920013,315.25,304.31,293.36
302.140015,315.16,304.18,293.2
302.320007,315.04,304.04,293.04
305.299988,315.08,304.07,293.06
305.079987,314.83,303.94,293.04
308.769989,314.18,303.75,293.33
310.309998,312.47,303.42,294.37
309.070007,312.06,303.32,294.58
310.390015,311.84,303.27,294.7
312.51001,313.11,303.65,294.19
312.619995,314.34,304.1,293.87
313.700012,315.67,304.64,293.61
314.549988,316.95,305.1,293.26
318.049988,318.74,306.11,293.49
319.73999,320.78,307,293.22
323.790009,322.68,308.51,294.34
324.630005,325.06,309.69,294.33
323.089996,326.82,310.65,294.48
323.820007,328.18,311.86,295.53
324.329987,329.11,313.16,297.2
326.049988,330,314.51,299.03
324.339996,330.58,315.62,300.67
320.529999,330.31,316.53,302.76
326.230011,330.95,317.58,304.21
328.549988,331.64,318.75,305.86
330.170013,332.77,319.82,306.87
325.859985,333.03,320.6,308.17
323.220001,332.59,321.31,310.03
320,331.93,321.79,311.65
323.880005,331.59,322.36,313.13
326.140015,331.24,323.03,314.83
324.869995,330.61,323.59,316.57
322.98999,329.7,324.01,318.33
322.640015,329.28,324.24,319.21
322.48999,329.05,324.38,319.71
323.529999,329.05,324.37,319.69
323.75,329.01,324.32,319.64
327.390015,329.37,324.54,319.71
329.76001,330.16,324.84,319.51
330.390015,330.98,325.14,319.3
329.130005,331.38,325.29,319.21
323.109985,331.38,325.23,319.08
320.200012,331.41,325.22,319.02
319.019989,331.59,324.85,318.12
320.600006,331.21,324.46,317.7
322.190002,330.34,324.06,317.77
321.079987,330.17,323.82,317.46
323.119995,330.17,323.81,317.46
329.480011,330.85,324.29,317.73
328.579987,331.34,324.52,317.71
333.410004,332.71,324.89,317.06
335.420013,334.48,325.41,316.34
335.950012,336.14,326.06,315.98
335.290009,337.41,326.69,315.98
333.600006,338.18,327.25,316.32
336.390015,339.37,327.89,316.41
335.899994,340.32,328.5,316.68
339.820007,341.91,329.12,316.33
338.309998,342.95,329.55,316.15
338.670013,343.94,329.96,315.98
338.609985,344.91,330.44,315.97
336.959991,345.45,331.13,316.81
335.25,345.39,331.88,318.38
334.119995,344.8,332.64,320.47
335.339996,344.25,333.37,322.5
334.149994,343.56,333.97,324.38
336.910004,342.38,334.76,327.15
341,341.61,335.66,329.7
342,342.14,336.28,330.43
341.559998,342.06,336.93,331.8
341.459991,342.56,337.34,332.11
340.899994,342.97,337.61,332.24
341.130005,343.39,337.87,332.35
343.369995,344.15,338.27,332.4
345.350006,345.09,338.86,332.63
343.540009,345.65,339.22,332.78
341.089996,345.78,339.48,333.18
344.25,346.33,339.7,333.06
345.339996,347.08,340.05,333.02
342.429993,347.32,340.24,333.16
346.609985,348.19,340.64,333.08
345.76001,348.75,341.08,333.41
349.630005,349.83,341.8,333.76
347.579987,350.06,342.47,334.88
349.799988,350.69,343.19,335.7
349.309998,350.66,343.95,337.24
349.809998,350.94,344.6,338.25
351.959991,352.02,345.14,338.26
352.26001,353.03,345.66,338.28
351.190002,353.64,346.14,338.64
353.809998,354.64,346.76,338.87
349.98999,354.73,347.21,339.69
362.579987,357.86,348.28,338.7
363.730011,360.73,349.3,337.88
358.019989,361.81,349.93,338.06
356.980011,362.48,350.61,338.73
358.350006,362.95,351.47,339.99
358.480011,363.55,352.18,340.81
354.5,363.6,352.64,341.68
354.109985,363.14,353.22,343.31
353.190002,362.99,353.55,344.11
352.559998,362.65,353.89,345.13
352.089996,362.6,354.01,345.43
350.570007,362.39,354.16,345.94
354.26001,362.37,354.39,346.41
354.299988,362.27,354.64,347
355.929993,362.26,354.94,347.62
355.549988,362.32,355.12,347.93
358.290009,362.62,355.42,348.23
361.059998,363.24,355.92,348.6
360.200012,363.72,356.24,348.76
362.459991,364.23,356.86,349.49
360.470001,363.85,356.76,349.66
361.670013,363.39,356.65,349.91
361.799988,363.93,356.84,349.76
363.149994,364.75,357.15,349.55
365.519989,365.93,357.51,349.08
367.779999,367.51,357.97,348.43
367.820007,368.95,358.64,348.33
369.5,370.51,359.41,348.3
367.859985,371.44,360.14,348.84
370.429993,372.62,361.04,349.45
370.480011,373.47,361.95,350.44
366.820007,373.2,362.77,352.33
363.279999,372.89,363.22,353.54
360.160004,372.41,363.51,354.61
361.709991,372.05,363.8,355.55
359.420013,371.62,363.99,356.37
357.779999,371.67,363.97,356.27
357.059998,371.96,363.77,355.58
350.299988,373.26,363.27,353.28
348.079987,374.54,362.55,350.56
343.040009,376.38,361.68,346.99
343.690002,377.44,360.78,344.12
345.059998,377.95,359.95,341.95
346.339996,377.98,359.11,340.24
345.450012,377.63,358.1,338.58
348.559998,376.56,357.14,337.73
348.429993,375.29,356.17,337.05
345.660004,373.59,354.98,336.37
345.089996,371.94,353.84,335.74
346.230011,369.32,352.63,335.95
345.390015,366.17,351.38,336.58
