High,Low,Upper,Middle,Lower
318.600006,308.700012,0.00,0.00,0.00
319.559998,313.299988,0.00,0.00,0.00
316.380005,312.75,0.00,0.00,0.00
315.660004,308.730011,0.00,0.00,0.00
310.290009,306.350006,0.00,0.00,0.00
309.380005,304.920013,0.00,0.00,0.00
307.48999,305.089996,0.00,0.00,0.00
308.339996,304.709991,0.00,0.00,0.00
311.910004,305.459991,0.00,0.00,0.00
318.910004,310.820007,0.00,0.00,0.00
316.359985,308.399994,0.00,0.00,0.00
306.959991,299.450012,0.00,0.00,0.00
302.470001,297.76001,0.00,0.00,0.00
301.480011,297.149994,0.00,0.00,0.00
304.190002,297,0.00,0.00,0.00
308.540009,304.160004,0.00,0.00,0.00
306.5,297.640015,0.00,0.00,0.00
306.570007,300.929993,0.00,0.00,0.00
308.579987,304.649994,0.00,0.00,0.00
307.459991,303.26001,319.56,308.28,297.00
309.380005,305.23999,319.56,308.28,297.00
309.040009,305.619995,318.91,307.96,297.00
312.390015,307.380005,318.91,307.96,297.00
316.890015,311.25,318.91,307.96,297.00
314.230011,310,318.91,307.96,297.00
320.160004,313.380005,320.16,308.58,297.00
320.5,314.75,320.50,308.75,297.00
316.799988,313.339996,320.50,308.75,297.00
320.570007,316.600006,320.57,308.79,297.00
321.320007,317.720001,321.32,309.16,297.00
318.420013,315.790009,321.32,309.16,297.00
318.519989,314.25,321.32,309.16,297.00
315.540009,307.75,321.32,309.16,297.00
307.23999,303.859985,321.32,309.16,297.00
310.01001,304.359985,321.32,309.48,297.64
312.730011,306.850006,321.32,309.48,297.64
312.829987,307.5,321.32,311.13,300.93
312.549988,307.709991,321.32,312.29,303.26
313.679993,309.579987,321.32,312.29,303.26
311.730011,308.339996,321.32,312.59,303.86
309.51001,306.809998,321.32,312.59,303.86
311.859985,305.790009,321.32,312.59,303.86
312.670013,306.380005,321.32,312.59,303.86
312.600006,308.299988,321.32,312.59,303.86
311.549988,305.920013,321.32,312.59,303.86
308.799988,305.600006,321.32,312.59,303.86
314.149994,306.630005,321.32,312.59,303.86
313.410004,308.01001,321.32,312.59,303.86
311.420013,306.98999,321.32,312.59,303.86
309.980011,305.279999,318.52,311.19,303.86
313.73999,309.619995,318.52,311.19,303.86
314.100006,309.040009,315.54,309.70,303.86
310.369995,308.279999,314.15,309.00,303.86
310.200012,306.869995,314.15,309.25,304.36
308.410004,305.480011,314.15,309.71,305.28
307.299988,300.5,314.15,307.32,300.50
305.269989,301.769989,314.15,307.32,300.50
305.559998,300.25,314.15,307.20,300.25
305.619995,300.01001,314.15,307.08,300.01
305.779999,302.01001,314.15,307.08,300.01
306.149994,303.410004,314.15,307.08,300.01
305.619995,302.079987,314.15,307.08,300.01
308.100006,301.450012,314.15,307.08,300.01
312.660004,308.5,314.15,307.08,300.01
317.290009,312.429993,317.29,308.65,300.01
316.5,310.230011,317.29,308.65,300.01
312.679993,309.25,317.29,308.65,300.01
313.179993,303.940002,317.29,308.65,300.01
306.720001,301.920013,317.29,308.65,300.01
306.589996,300.76001,317.29,308.65,300.01
307.549988,301.679993,317.29,308.65,300.01
300.549988,294.899994,317.29,306.10,294.90
304.429993,295.359985,317.29,306.10,294.90
301.299988,292.420013,317.29,304.86,292.42
301.51001,295.059998,317.29,304.86,292.42
305.630005,302.25,317.29,304.86,292.42
307.049988,299.649994,317.29,304.86,292.42
302.079987,296.299988,317.29,304.86,292.42
299.5,293.390015,317.29,304.86,292.42
303.209991,298.970001,317.29,304.86,292.42
302.720001,300.589996,317.29,304.86,292.42
305.380005,303.359985,317.29,304.86,292.42
307.470001,302.579987,317.29,304.86,292.42
308.809998,304.98999,317.29,304.86,292.42
311.5,308.23999,316.50,304.46,292.42
311,307.070007,313.18,302.80,292.42
311.070007,307.850006,313.18,302.80,292.42
313.220001,309.049988,313.22,302.82,292.42
313.700012,310.329987,313.70,303.06,292.42
315.940002,311.769989,315.94,304.18,292.42
316.920013,313.720001,316.92,304.67,292.42
318.809998,313.26001,318.81,305.62,292.42
321.880005,318.119995,321.88,307.15,292.42
323.980011,319,323.98,308.69,293.39
325.720001,322.5,325.72,309.56,293.39
324.549988,322.76001,325.72,309.56,293.39
324.369995,321.320007,325.72,309.56,293.39
324.850006,321.609985,325.72,309.56,293.39
326.399994,324.299988,326.40,312.68,298.97
327.100006,324.109985,327.10,313.85,300.59
323.73999,319,327.10,314.84,302.58
326.910004,322.109985,327.10,314.84,302.58
328.809998,325.190002,328.81,316.90,304.99
