High,Low,Close,Upper,Middle,Lower
318.600006,308.700012,318.600006,0,0,0
319.559998,313.299988,315.839996,0,0,0
316.380005,312.75,316.149994,0,0,0
315.660004,308.730011,310.570007,0,0,0
310.290009,306.350006,307.779999,0,0,0
309.380005,304.920013,305.820007,0,0,0
307.48999,305.089996,305.98999,0,0,0
308.339996,304.709991,306.390015,0,0,0
311.910004,305.459991,311.450012,0,0,0
318.910004,310.820007,312.329987,0,0,0
316.359985,308.399994,309.290009,0,0,0
306.959991,299.450012,301.910004,0,0,0
302.470001,297.76001,300,0,0,0
301.480011,297.149994,300.029999,0,0,0
304.190002,297,302,0,0,0
308.540009,304.160004,307.820007,0,0,0
306.5,297.640015,302.690002,0,0,0
306.570007,300.929993,306.48999,0,0,0
308.579987,304.649994,305.549988,0,0,0
307.459991,303.26001,303.429993,318.95,307.51,296.07
309.380005,305.23999,309.059998,318.52,307.65,296.79
309.040009,305.619995,308.899994,318.35,307.77,297.19
312.390015,307.380005,309.910004,318.69,307.98,297.26
316.890015,311.25,314.549988,319.19,308.6,298.01
314.230011,310,312.899994,319.63,309.01,298.39
320.160004,313.380005,318.690002,320.78,309.93,299.08
320.5,314.75,315.529999,321.65,310.47,299.28
316.799988,313.339996,316.350006,322.19,311.03,299.86
320.570007,316.600006,320.369995,322.84,311.92,301
321.320007,317.720001,318.929993,323.06,312.58,302.11
318.420013,315.790009,317.640015,323,313.07,303.13
318.519989,314.25,314.859985,322.85,313.24,303.62
315.540009,307.75,308.299988,322.69,312.77,302.84
307.23999,303.859985,305.230011,321.88,312.05,302.22
310.01001,304.359985,309.869995,321.51,311.84,302.17
312.730011,306.850006,310.420013,321.53,311.71,301.88
312.829987,307.5,311.299988,321.14,311.67,302.2
312.549988,307.709991,311.899994,321.08,311.69,302.3
313.679993,309.579987,310.950012,321.03,311.62,302.21
311.730011,308.339996,309.170013,320.71,311.39,302.06
309.51001,306.809998,307.329987,320.18,311,301.82
311.859985,305.790009,311.519989,320.5,311.05,301.6
312.670013,306.380005,310.570007,320.58,311,301.43
312.600006,308.299988,311.859985,320.53,311.09,301.64
311.549988,305.920013,308.51001,320.42,310.84,301.26
308.799988,305.600006,308.429993,319.83,310.61,301.39
314.149994,306.630005,312.970001,320.24,310.84,301.44
313.410004,308.01001,308.480011,320.2,310.61,301.02
311.420013,306.98999,307.209991,319.93,310.29,300.65
309.980011,305.279999,309.890015,320,310.25,300.5
313.73999,309.619995,313.73999,320.48,310.58,300.68
314.100006,309.040009,310.790009,320.58,310.6,300.62
310.369995,308.279999,309.630005,319.92,310.51,301.1
310.200012,306.869995,308.179993,319.69,310.29,300.88
308.410004,305.480011,308.23999,319.22,310.09,300.96
307.299988,300.5,302.720001,318.61,309.39,300.17
305.269989,301.769989,303.160004,317.84,308.8,299.76
305.559998,300.25,303.070007,317.34,308.25,299.16
305.619995,300.01001,304.019989,317.09,307.85,298.61
305.779999,302.01001,304.660004,316.82,307.54,298.27
306.149994,303.410004,305.179993,316.6,307.32,298.04
305.619995,302.079987,304.619995,316.09,307.06,298.04
308.100006,301.450012,307.75,316.19,307.13,298.06
312.660004,308.5,312.450012,316.68,307.63,298.59
317.290009,312.429993,316.970001,317.5,308.52,299.55
316.5,310.230011,311.119995,318.05,308.77,299.49
312.679993,309.25,311.369995,317.89,309.02,300.15
313.179993,303.940002,304.820007,317.87,308.62,299.36
306.720001,301.920013,303.630005,317.43,308.14,298.85
306.589996,300.76001,302.880005,317.05,307.64,298.24
307.549988,301.679993,305.329987,317,307.42,297.84
300.549988,294.899994,297.880005,316.15,306.51,296.88
304.429993,295.359985,302.01001,316.42,306.08,295.75
301.299988,292.420013,293.51001,315.78,304.89,294
301.51001,295.059998,301.059998,315.77,304.52,293.28
305.630005,302.25,303.850006,315.36,304.46,293.56
307.049988,299.649994,299.730011,315.3,304.01,292.72
302.079987,296.299988,298.369995,314.81,303.47,292.13
299.5,293.390015,298.920013,314.43,303.04,291.65
303.209991,298.970001,302.140015,314.39,302.95,291.52
302.720001,300.589996,302.320007,314.27,302.89,291.52
305.380005,303.359985,305.299988,314.34,303.12,291.9
307.470001,302.579987,305.079987,314.35,303.31,292.26
308.809998,304.98999,308.769989,314.84,303.83,292.82
311.5,308.23999,310.309998,315.3,304.45,293.59
311,307.070007,309.070007,315.5,304.89,294.27
311.070007,307.850006,310.390015,316.01,305.41,294.81
313.220001,309.049988,312.51001,316.18,306.09,296
313.700012,310.329987,312.619995,316.66,306.71,296.76
315.940002,311.769989,313.700012,317.16,307.37,297.59
316.920013,313.720001,314.549988,317.57,308.06,298.54
318.809998,313.26001,318.049988,318.51,309.01,299.51
321.880005,318.119995,319.73999,319,310.03,301.06
323.980011,319,323.790009,319.92,311.34,302.76
325.720001,322.5,324.630005,320.87,312.61,304.35
324.549988,322.76001,323.089996,321.71,313.61,305.5
324.369995,321.320007,323.820007,322.24,314.58,306.91
324.850006,321.609985,324.329987,322.92,315.51,308.1
326.399994,324.299988,326.049988,323.52,316.51,309.5
327.100006,324.109985,324.339996,324.14,317.26,310.37
323.73999,319,320.529999,324.72,317.57,310.42
326.910004,322.109985,326.230011,325.82,318.39,310.97
328.809998,325.190002,328.549988,326.66,319.36,312.06
331.839996,328.570007,330.170013,327.63,320.39,313.15
330.25,322.76001,325.859985,328.58,320.91,313.25
328.070007,323.059998,323.220001,328.91,321.13,313.36
325.98999,317.410004,320,329.33,321.02,312.71
325.160004,322.619995,323.880005,329.44,321.3,313.15
330.690002,325.790009,326.140015,330.06,321.76,313.46
326.880005,323.480011,324.869995,330.28,322.05,313.83
326.160004,320.149994,322.98999,330.65,322.14,313.64
322.959991,319.809998,322.640015,330.45,322.19,313.93
