High,Low,Close,Tr
318.600006,308.700012,318.600006,0.000000
319.559998,313.299988,315.839996,6.260010
316.380005,312.75,316.149994,3.630005
315.660004,308.730011,310.570007,7.419983
310.290009,306.350006,307.779999,4.220001
309.380005,304.920013,305.820007,4.459992
307.48999,305.089996,305.98999,2.399994
308.339996,304.709991,306.390015,3.630005
311.910004,305.459991,311.450012,6.450013
318.910004,310.820007,312.329987,8.089997
316.359985,308.399994,309.290009,7.959991
306.959991,299.450012,301.910004,9.839997
302.470001,297.76001,300,4.709991
301.480011,297.149994,300.029999,4.330017
304.190002,297,302,7.190002
308.540009,304.160004,307.820007,6.540009
306.5,297.640015,302.690002,10.179992
306.570007,300.929993,306.48999,5.640014
308.579987,304.649994,305.549988,3.929993
307.459991,303.26001,303.429993,4.199981
309.380005,305.23999,309.059998,5.950012
309.040009,305.619995,308.899994,3.440003
312.390015,307.380005,309.910004,5.010010
316.890015,311.25,314.549988,6.980011
314.230011,310,312.899994,4.549988
320.160004,313.380005,318.690002,7.260010
320.5,314.75,315.529999,5.750000
316.799988,313.339996,316.350006,3.459992
320.570007,316.600006,320.369995,4.220001
321.320007,317.720001,318.929993,3.600006
318.420013,315.790009,317.640015,3.139984
318.519989,314.25,314.859985,4.269989
315.540009,307.75,308.299988,7.790009
307.23999,303.859985,305.230011,4.440003
310.01001,304.359985,309.869995,5.650025
312.730011,306.850006,310.420013,5.880005
312.829987,307.5,311.299988,5.329987
312.549988,307.709991,311.899994,4.839997
313.679993,309.579987,310.950012,4.100006
311.730011,308.339996,309.170013,3.390015
309.51001,306.809998,307.329987,2.700012
311.859985,305.790009,311.519989,6.069976
312.670013,306.380005,310.570007,6.290008
312.600006,308.299988,311.859985,4.300018
311.549988,305.920013,308.51001,5.939972
308.799988,305.600006,308.429993,3.199982
314.149994,306.630005,312.970001,7.519989
313.410004,308.01001,308.480011,5.399994
311.420013,306.98999,307.209991,4.430023
309.980011,305.279999,309.890015,4.700012
313.73999,309.619995,313.73999,4.119995
314.100006,309.040009,310.790009,5.059997
310.369995,308.279999,309.630005,2.510010
310.200012,306.869995,308.179993,3.330017
308.410004,305.480011,308.23999,2.929993
307.299988,300.5,302.720001,7.739990
305.269989,301.769989,303.160004,3.500000
305.559998,300.25,303.070007,5.309998
305.619995,300.01001,304.019989,5.609985
305.779999,302.01001,304.660004,3.769989
306.149994,303.410004,305.179993,2.739990
305.619995,302.079987,304.619995,3.540008
308.100006,301.450012,307.75,6.649994
312.660004,308.5,312.450012,4.910004
317.290009,312.429993,316.970001,4.860016
316.5,310.230011,311.119995,6.739990
312.679993,309.25,311.369995,3.429993
313.179993,303.940002,304.820007,9.239991
306.720001,301.920013,303.630005,4.799988
306.589996,300.76001,302.880005,5.829986
307.549988,301.679993,305.329987,5.869995
300.549988,294.899994,297.880005,10.429993
304.429993,295.359985,302.01001,9.070008
301.299988,292.420013,293.51001,9.589997
301.51001,295.059998,301.059998,8.000000
305.630005,302.25,303.850006,4.570007
307.049988,299.649994,299.730011,7.399994
302.079987,296.299988,298.369995,5.779999
299.5,293.390015,298.920013,6.109985
303.209991,298.970001,302.140015,4.289978
302.720001,300.589996,302.320007,2.130005
305.380005,303.359985,305.299988,3.059998
307.470001,302.579987,305.079987,4.890014
308.809998,304.98999,308.769989,3.820008
311.5,308.23999,310.309998,3.260010
311,307.070007,309.070007,3.929993
311.070007,307.850006,310.390015,3.220001
313.220001,309.049988,312.51001,4.170013
313.700012,310.329987,312.619995,3.370025
315.940002,311.769989,313.700012,4.170013
316.920013,313.720001,314.549988,3.220001
318.809998,313.26001,318.049988,5.549988
321.880005,318.119995,319.73999,3.830017
323.980011,319,323.790009,4.980011
325.720001,322.5,324.630005,3.220001
324.549988,322.76001,323.089996,1.869995
324.369995,321.320007,323.820007,3.049988
324.850006,321.609985,324.329987,3.240021
326.399994,324.299988,326.049988,2.100006
327.100006,324.109985,324.339996,2.990021
323.73999,319,320.529999,5.339996
326.910004,322.109985,326.230011,6.380005
328.809998,325.190002,328.549988,3.619996
331.839996,328.570007,330.170013,3.290008
330.25,322.76001,325.859985,7.489990
328.070007,323.059998,323.220001,5.010009
325.98999,317.410004,320,8.579986
325.160004,322.619995,323.880005,5.160004
330.690002,325.790009,326.140015,6.809997
326.880005,323.480011,324.869995,3.399994
326.160004,320.149994,322.98999,6.010010
322.959991,319.809998,322.640015,3.179992
324.23999,320.540009,322.48999,3.699981
323.829987,320.130005,323.529999,3.699982
324.690002,322.359985,323.75,2.330017
328.26001,324.820007,327.390015,4.510010
329.980011,325.850006,329.76001,4.130005
333.940002,329.119995,330.390015,4.820007
331.48999,328.350006,329.130005,3.139984
329.269989,322.970001,323.109985,6.299988
323,319.559998,320.200012,3.549987
320.559998,317.709991,319.019989,2.850007
322.630005,319.670013,320.600006,3.610016
322.470001,319,322.190002,3.470001
322.410004,319.390015,321.079987,3.019989
323.220001,319.529999,323.119995,3.690002
330.670013,324.420013,329.480011,7.550018
330.890015,327.570007,328.579987,3.320008
334.160004,328.679993,333.410004,5.580017
335.820007,331.429993,335.420013,4.390014
336.320007,334.100006,335.950012,2.220001
337.589996,334.920013,335.290009,2.669983
335.350006,332.220001,333.600006,3.130005
336.619995,332.200012,336.390015,4.419983
340.380005,334.089996,335.899994,6.290009
341.679993,335.540009,339.820007,6.139984
341.299988,337.660004,338.309998,3.639984
339.279999,336.619995,338.670013,2.660004
341.350006,336.369995,338.609985,4.980011
338.850006,335.660004,336.959991,3.190002
337.470001,334.190002,335.25,3.279999
335.829987,331.839996,334.119995,3.989991
336.730011,334.369995,335.339996,2.610016
336.399994,332.609985,334.149994,3.790009
337.01001,334.140015,336.910004,2.869995
342.5,338.399994,341,5.589996
342.079987,338.410004,342,3.669983
341.890015,338.700012,341.559998,3.299988
341.799988,338.910004,341.459991,2.889984
344.070007,340.390015,340.899994,3.679992
343.480011,339.869995,341.130005,3.610016
343.839996,340.929993,343.369995,2.910003
346.440002,344.309998,345.350006,3.070007
346.209991,343.450012,343.540009,2.759979
345,340.51001,341.089996,4.489990
345.720001,341.089996,344.25,4.630005
347.25,343.540009,345.339996,3.709991
345.380005,341.98999,342.429993,3.390015
346.790009,342.850006,346.609985,4.360016
347.619995,345.100006,345.76001,2.519989
351.190002,346.279999,349.630005,5.429992
349.660004,345.540009,347.579987,4.119995
351.089996,347.519989,349.799988,3.570007
351.269989,348.600006,349.309998,2.669983
351,348.320007,349.809998,2.679993
352.329987,350.209991,351.959991,2.519989
353.420013,351.25,352.26001,2.170013
352.890015,349.690002,351.190002,3.200013
354.470001,349.420013,353.809998,5.049988
355.109985,349.390015,349.98999,5.719970
364.630005,355.149994,362.579987,14.640015
364.25,358.850006,363.730011,5.399994
364.429993,356.059998,358.019989,8.369995
362.350006,355.920013,356.980011,6.429993
359.25,353.200012,358.350006,6.049988
358.950012,356.809998,358.480011,2.140014
357.920013,353.670013,354.5,4.809998
358.720001,353.380005,354.109985,5.339996
356.299988,351.880005,353.190002,4.419983
354.299988,351.25,352.559998,3.049988
354.179993,349.609985,352.089996,4.570008
353.5,349.660004,350.570007,3.839996
354.320007,351.540009,354.26001,3.750000
357.230011,354.130005,354.299988,3.100006
357.350006,352.920013,355.929993,4.429993
358.410004,354.529999,355.549988,3.880005
358.589996,354.01001,358.290009,4.579986
362.679993,358.600006,361.059998,4.389984
362.470001,359.25,360.200012,3.220001
363.390015,360.600006,362.459991,3.190003
366.470001,360,360.470001,6.470001
362.799988,359.26001,361.670013,3.539978
363.299988,360.869995,361.799988,2.429993
364.829987,361.769989,363.149994,3.059998
366.609985,364.51001,365.519989,3.459991
370.429993,365.470001,367.779999,4.959992
370.839996,365.970001,367.820007,4.869995
370.220001,368.26001,369.5,2.399994
370.200012,367.519989,367.859985,2.680023
371.329987,367.790009,370.429993,3.539978
373.339996,368.459991,370.480011,4.880005
371.339996,366.730011,366.820007,4.609985
367.200012,362.940002,363.279999,4.260010
363.420013,359.76001,360.160004,3.660003
361.890015,357.269989,361.709991,4.620026
360.790009,357.950012,359.420013,3.759979
360.519989,354.269989,357.779999,6.250000
359.470001,356.670013,357.059998,2.799988
357.5,348.549988,350.299988,8.950012
350,345.410004,348.079987,4.889984
348.23999,342.130005,343.040009,6.109985
344.01001,339.51001,343.690002,4.500000
345.940002,342.369995,345.059998,3.570007
348.76001,341.859985,346.339996,6.900025
345.899994,342.829987,345.450012,3.510009
349.51001,345.5,348.559998,4.059998
349.600006,344.920013,348.429993,4.679993
348.660004,343.019989,345.660004,5.640015
348.440002,343.880005,345.089996,4.559997
349.940002,345.829987,346.230011,4.850006
348.410004,344.149994,345.390015,4.260010
344.829987,339.959991,340.890015,5.430024
342.690002,338.450012,338.660004,4.239990
340,334.350006,335.859985,5.649994
338.880005,333.48999,336.839996,5.390015
339.850006,337.769989,338.630005,3.010010
339.619995,336.549988,336.899994,3.070007
338.320007,335.459991,336.160004,2.860016
336.190002,330.579987,331.709991,5.610015
338.359985,332.179993,337.410004,6.649994
341.48999,337.5,341.329987,4.079986
345.329987,340.579987,343.75,4.750000
349.390015,344.5,349.019989,5.640015
354.350006,349.790009,351.809998,5.330017
