High,Low,Close,Volume,Ad
318.600006,308.700012,318.600006,7919700,7919700.00
319.559998,313.299988,315.839996,4351600,7099435.83
316.380005,312.75,316.149994,3025700,9741695.98
315.660004,308.730011,310.570007,3835800,7942797.51
310.290009,306.350006,307.779999,3877400,6879940.98
309.380005,304.920013,305.820007,4130800,4416271.87
307.48999,305.089996,305.98999,2351700,3828339.52
308.339996,304.709991,306.390015,3326000,3580990.83
311.910004,305.459991,311.450012,4366700,7324855.79
318.910004,310.820007,312.329987,5042800,4164510.66
316.359985,308.399994,309.290009,4056900,1014823.21
306.959991,299.450012,301.910004,5103900,-745378.18
302.470001,297.76001,300,8305700,-1150984.56
301.480011,297.149994,300.029999,3842200,117906.33
304.190002,297,302,3090700,1325814.31
308.540009,304.160004,307.820007,3264600,3517119.41
306.5,297.640015,302.690002,3560100,4015369.10
306.570007,300.929993,306.48999,2460400,6405955.86
308.579987,304.649994,305.549988,2730900,4925843.65
307.459991,303.26001,303.429993,2628200,2510382.38
309.380005,305.23999,309.059998,2846200,4916582.08
309.040009,305.619995,308.899994,3298300,7944817.99
312.390015,307.380005,309.910004,3549900,7980237.56
316.890015,311.25,314.549988,5121200,8851893.45
314.230011,310,312.899994,3416300,10119859.99
320.160004,313.380005,318.690002,3647900,12185924.87
320.5,314.75,315.529999,4397400,8981557.07
316.799988,313.339996,316.350006,3049100,11237568.47
320.570007,316.600006,320.369995,2999500,13934833.79
321.320007,317.720001,318.929993,3070300,12928440.59
318.420013,315.790009,317.640015,2773000,14056626.02
318.519989,314.25,314.859985,3478900,11571675.56
315.540009,307.75,308.299988,3406000,8646614.45
307.23999,303.859985,305.230011,3614600,7962244.42
310.01001,304.359985,309.869995,3770100,11545488.42
312.730011,306.850006,310.420013,3086700,12206928.29
312.829987,307.5,311.299988,2234300,13158494.67
312.549988,307.709991,311.899994,2299800,14840585.11
313.679993,309.579987,310.950012,2856600,13893062.04
311.730011,308.339996,309.170013,3031200,12346190.29
309.51001,306.809998,307.329987,3474600,10209920.48
311.859985,305.790009,311.519989,3653400,13454046.58
312.670013,306.380005,310.570007,3518300,14623080.53
312.600006,308.299988,311.859985,4421400,17522659.53
311.549988,305.920013,308.51001,5385700,17092202.44
308.799988,305.600006,308.429993,2973100,19377778.48
314.149994,306.630005,312.970001,3786700,21976104.54
313.410004,308.01001,308.480011,3370000,19192736.07
311.420013,306.98999,307.209991,3461200,16075311.92
309.980011,305.279999,309.890015,2808000,18775776.55
313.73999,309.619995,313.73999,3261500,22037276.55
314.100006,309.040009,310.790009,2907100,21141017.66
310.369995,308.279999,309.630005,2410700,21844638.90
310.200012,306.869995,308.179993,2801700,21247264.82
308.410004,305.480011,308.23999,2720500,23652048.65
307.299988,300.5,302.720001,4131100,22218319.92
305.269989,301.769989,303.160004,2899500,21621876.20
305.559998,300.25,303.070007,2736400,21791943.27
305.619995,300.01001,304.019989,3656200,23362596.89
305.779999,302.01001,304.660004,3652200,24844792.82
306.149994,303.410004,305.179993,4736800,26227784.42
305.619995,302.079987,304.619995,3397200,27705666.73
308.100006,301.450012,307.75,3152100,30525960.74
312.660004,308.5,312.450012,4493000,34565358.26
317.290009,312.429993,316.970001,4889800,38811220.00
316.5,310.230011,311.119995,3609700,36226266.70
312.679993,309.25,311.369995,2701600,36864252.81
313.179993,303.940002,304.820007,3929500,33683233.98
306.720001,301.920013,303.630005,5294800,32160970.76
306.589996,300.76001,302.880005,4993000,30799243.65
307.549988,301.679993,305.329987,5251500,32078564.71
300.549988,294.899994,297.880005,7162800,32471603.81
304.429993,295.359985,302.01001,6325700,35421764.02
301.299988,292.420013,293.51001,15609400,23644401.64
301.51001,295.059998,301.059998,6056000,28855357.43
305.630005,302.25,303.850006,4724000,28603793.62
307.049988,299.649994,299.730011,3086300,25584238.66
302.079987,296.299988,298.369995,4015800,24444817.75
299.5,293.390015,298.920013,3905400,27608781.81
303.209991,298.970001,302.140015,3833900,29507686.21
302.720001,300.589996,302.320007,2436500,31029084.72
305.380005,303.359985,305.299988,2650000,33469141.20
307.470001,302.579987,305.079987,2694000,33529734.54
308.809998,304.98999,308.769989,5020200,38444776.03
311.5,308.23999,310.309998,4862300,39757303.65
311,307.070007,309.070007,2740300,39806118.03
311.070007,307.850006,310.390015,2314500,41143077.04
313.220001,309.049988,312.51001,3131400,43208165.83
313.700012,310.329987,312.619995,2330900,44045064.07
315.940002,311.769989,313.700012,3109500,43813927.53
316.920013,313.720001,314.549988,2662600,42532524.47
318.809998,313.26001,318.049988,3323300,44945645.48
321.880005,318.119995,319.73999,2975400,44534139.26
323.980011,319,323.790009,3425500,47698253.55
325.720001,322.5,324.630005,3581200,48854924.07
324.549988,322.76001,323.089996,2406200,47335899.57
324.369995,321.320007,323.820007,2428400,48888498.84
324.850006,321.609985,324.329987,2405700,50521975.63
326.399994,324.299988,326.049988,2261900,52029898.19
327.100006,324.109985,324.339996,2552200,49870360.37
323.73999,319,320.529999,2718600,48906808.49
326.910004,322.109985,326.230011,2950000,51020987.07
328.809998,325.190002,328.549988,2909600,53512616.94
331.839996,328.570007,330.170013,2461300,53459945.70
330.25,322.76001,325.859985,3366500,52880115.86
328.070007,323.059998,323.220001,2653800,50395822.93
325.98999,317.410004,320,3185600,49133464.12
325.160004,322.619995,323.880005,3869500,49103012.49
330.690002,325.790009,326.140015,3302400,46272392.68
326.880005,323.480011,324.869995,2283400,45855989.77
326.160004,320.149994,322.98999,2639800,45711034.69
322.959991,319.809998,322.640015,2548900,47742100.63
324.23999,320.540009,322.48999,1937300,47846810.14
323.829987,320.130005,323.529999,2190000,49681687.48
324.690002,322.359985,323.75,2139500,50094904.56
328.26001,324.820007,327.390015,3046800,51600600.81
329.980011,325.850006,329.76001,2805000,54106762.04
333.940002,329.119995,330.390015,4322900,52061937.34
331.48999,328.350006,329.130005,2762500,50671894.81
329.269989,322.970001,323.109985,4029300,46821654.68
323,319.559998,320.200012,3071500,44893062.74
320.559998,317.709991,319.019989,4245400,44550435.96
322.630005,319.670013,320.600006,3229400,43350311.31
322.470001,319,322.190002,3231800,46060554.82
322.410004,319.390015,321.079987,6175000,46796558.21
323.220001,319.529999,323.119995,3375300,49988904.24
330.670013,324.420013,329.480011,3962200,52442295.94
330.890015,327.570007,328.579987,3091800,51231609.58
334.160004,328.679993,333.410004,3181400,53542190.16
335.820007,331.429993,335.420013,3727800,56590676.78
336.320007,334.100006,335.950012,2759300,58430222.95
337.589996,334.920013,335.290009,2619200,56536940.33
335.350006,332.220001,333.600006,2873400,56197278.37
336.619995,332.200012,336.390015,2953000,58842978.12
340.380005,334.089996,335.899994,5164600,56650684.09
341.679993,335.540009,339.820007,4095200,58264765.36
341.299988,337.660004,338.309998,8486200,52809336.42
339.279999,336.619995,338.670013,3751700,54840373.99
341.350006,336.369995,338.609985,4507000,54387836.89
338.850006,335.660004,336.959991,3303300,53776853.11
337.470001,334.190002,335.25,4451700,52202466.85
335.829987,331.839996,334.119995,3220900,52662602.11
336.730011,334.369995,335.339996,2625600,52195321.90
336.399994,332.609985,334.149994,3175100,51600523.20
337.01001,334.140015,336.910004,2498900,53925273.08
342.5,338.399994,341,4520600,55138121.82
342.079987,338.410004,342,2047400,57096275.97
341.890015,338.700012,341.559998,2870700,59373008.00
341.799988,338.910004,341.459991,2548300,61321709.97
344.070007,340.390015,340.899994,2940800,59195991.22
343.480011,339.869995,341.130005,2966500,58300296.26
343.839996,340.929993,343.369995,2754900,60165296.32
346.440002,344.309998,345.350006,2897100,60097305.73
346.209991,343.450012,343.540009,2831800,57450183.58
345,340.51001,341.089996,2669300,55470487.18
345.720001,341.089996,344.25,2359500,56331730.76
347.25,343.540009,345.339996,2565300,56255658.71
345.380005,341.98999,342.429993,3032100,54010654.40
346.790009,342.850006,346.609985,3146000,56869164.52
347.619995,345.100006,345.76001,3301900,55296849.22
351.190002,346.279999,349.630005,3269400,56488753.87
349.660004,345.540009,347.579987,3014000,56459463.17
351.089996,347.519989,349.799988,2682900,57203452.42
351.269989,348.600006,349.309998,2706700,55936263.72
351,348.320007,349.809998,2473300,56213116.23
352.329987,350.209991,351.959991,2621600,57919637.61
353.420013,351.25,352.26001,2293300,57761122.91
352.890015,349.690002,351.190002,3085900,57568242.41
354.470001,349.420013,353.809998,2942000,59741239.07
355.109985,349.390015,349.98999,2842000,57495441.13
364.630005,355.149994,362.579987,5379900,60548573.40
364.25,358.850006,363.730011,3428800,63317025.15
364.429993,356.059998,358.019989,4424600,60964630.97
362.350006,355.920013,356.980011,3098800,58887518.49
359.25,353.200012,358.350006,2475200,60626298.80
358.950012,356.809998,358.480011,1990700,61742583.04
357.920013,353.670013,354.5,2863700,59997393.05
358.720001,353.380005,354.109985,2196100,58401708.88
356.299988,351.880005,353.190002,2847700,57242014.68
354.299988,351.25,352.559998,2870600,56837313.07
354.179993,349.609985,352.089996,2540000,57054081.96
353.5,349.660004,350.570007,2363300,55810892.55
354.320007,351.540009,354.26001,2239500,57953728.25
357.230011,354.130005,354.299988,2521100,55709107.80
357.350006,352.920013,355.929993,2136800,56476025.83
358.410004,354.529999,355.549988,1728000,55656550.94
358.589996,354.01001,358.290009,2285600,57642739.42
362.679993,358.600006,361.059998,3058300,58272389.18
362.470001,359.25,360.200012,2842300,57107243.39
363.390015,360.600006,362.459991,2637900,57986503.67
366.470001,360,360.470001,2976800,55442191.70
362.799988,359.26001,361.670013,2655800,56402507.94
363.299988,360.869995,361.799988,3263800,55636913.62
364.829987,361.769989,363.149994,3019100,55340935.07
366.609985,364.51001,365.519989,2921600,55229611.04
370.429993,365.470001,367.779999,2898400,55030932.41
370.839996,365.970001,367.820007,3261400,54247403.36
370.220001,368.26001,369.5,3670100,55221087.24
370.200012,367.519989,367.859985,11595000,46568042.30
371.329987,367.790009,370.429993,3130900,48106959.97
373.339996,368.459991,370.480011,2603700,47658801.24
371.339996,366.730011,366.820007,2268400,45478968.52
367.200012,362.940002,363.279999,3178600,42807745.01
363.420013,359.76001,360.160004,3969400,39705959.70
361.890015,357.269989,361.709991,2556200,42062949.85
360.790009,357.950012,359.420013,3063900,42170839.16
360.519989,354.269989,357.779999,3535400,42606411.75
359.470001,356.670013,357.059998,2731700,40635659.32
357.5,348.549988,350.299988,4932900,37631823.77
350,345.410004,348.079987,3527600,38208206.45
348.23999,342.130005,343.040009,3151700,35995317.13
344.01001,339.51001,343.690002,3244600,38778451.37
345.940002,342.369995,345.059998,3027300,40313297.10
348.76001,341.859985,346.339996,3174700,41261101.27
345.899994,342.829987,345.450012,2762800,43213994.14
349.51001,345.5,348.559998,2858600,44718131.53
349.600006,344.920013,348.429993,2620800,46028515.01
348.660004,343.019989,345.660004,2677500,45857618.33
348.440002,343.880005,345.089996,2804800,44541320.52
349.940002,345.829987,346.230011,3117800,42030425.77
348.410004,344.149994,345.390015,2998600,40777515.08
344.829987,339.959991,340.890015,2977100,38937489.71
342.690002,338.450012,338.660004,2741300,36467723.88
340,334.350006,335.859985,3466100,34854276.54
338.880005,333.48999,336.839996,2794200,35533382.93
339.850006,337.769989,338.630005,2355700,35125685.94
339.619995,336.549988,336.899994,2623200,33100618.61
338.320007,335.459991,336.160004,2685400,31729767.13
336.190002,330.579987,331.709991,3608200,29575139.16
338.359985,332.179993,337.410004,2634700,31399833.28
341.48999,337.5,341.329987,3066900,34220761.13
345.329987,340.579987,343.75,2789700,35154591.77
349.390015,344.5,349.019989,3433700,38068637.63
354.350006,349.790009,351.809998,4409100,37565826.82
354.029999,344.059998,346.630005,5486200,34908026.21
346.950012,344.299988,346.170013,3062900,36167879.20
348,344.690002,346.299988,2602400,36097098.59
350.109985,346.880005,348.179993,3052100,35501789.89
351.200012,348.600006,350.559998,3701100,37380774.23
350.649994,348.809998,350.01001,2196200,38049217.80
355.950012,351.25,354.25,3387500,38986174.85
357.309998,354.480011,356.790009,3572900,41246087.40
360,357.230011,359.859985,2822500,43783248.84
360.559998,358.070007,358.929993,3260000,42775107.87
362.609985,358.179993,361.329987,3215300,44132355.95
363.029999,360.25,361,2918800,42788448.61
362.459991,360.049988,361.799988,2110200,43742850.60
363.190002,361.23999,362.679993,1282000,44354258.28
362.640015,359.579987,361.339996,2580300,44742134.53
362.119995,359.209991,360.049988,2953500,43493739.50
361.519989,358.299988,358.690002,3141100,41113554.15
