High,Low,Volume,Emv
318.600006,308.700012,7919700,0.00
319.559998,313.299988,4351600,0.00
316.380005,312.75,3025700,0.00
315.660004,308.730011,3835800,0.00
310.290009,306.350006,3877400,0.00
309.380005,304.920013,4130800,0.00
307.48999,305.089996,2351700,0.00
308.339996,304.709991,3326000,0.00
311.910004,305.459991,4366700,0.00
318.910004,310.820007,5042800,0.00
316.359985,308.399994,4056900,0.00
306.959991,299.450012,5103900,0.00
302.470001,297.76001,8305700,0.00
301.480011,297.149994,3842200,0.00
304.190002,297,3090700,-94.92
308.540009,304.160004,3264600,-68.34
306.5,297.640015,3560100,-128.44
306.570007,300.929993,2460400,-70.35
308.579987,304.649994,2730900,-12.77
307.459991,303.26001,2628200,-18.07
309.380005,305.23999,2846200,8.46
309.040009,305.619995,3298300,6.77
312.390015,307.380005,3549900,9.74
316.890015,311.25,5121200,-28.16
314.230011,310,3416300,-10.62
320.160004,313.380005,3647900,147.61
320.5,314.75,4397400,168.11
316.799988,313.339996,3049100,153.84
320.570007,316.600006,2999500,165.80
321.320007,317.720001,3070300,118.48
318.420013,315.790009,2773000,178.20
318.519989,314.25,3478900,144.38
315.540009,307.75,3406000,37.50
307.23999,303.859985,3614600,11.11
310.01001,304.359985,3770100,8.35
312.730011,306.850006,3086700,43.65
312.829987,307.5,2234300,24.29
312.549988,307.709991,2299800,-9.16
313.679993,309.579987,2856600,23.51
311.730011,308.339996,3031200,-51.03
309.51001,306.809998,3474600,-69.43
311.859985,305.790009,3653400,-40.83
312.670013,306.380005,3518300,-65.12
312.600006,308.299988,4421400,-66.52
311.549988,305.920013,5385700,-62.97
308.799988,305.600006,2973100,-68.46
314.149994,306.630005,3786700,54.23
313.410004,308.01001,3370000,98.60
311.420013,306.98999,3461200,67.34
309.980011,305.279999,2808000,13.07
313.73999,309.619995,3261500,43.22
314.100006,309.040009,2907100,42.38
310.369995,308.279999,2410700,13.10
310.200012,306.869995,2801700,19.13
308.410004,305.480011,2720500,17.31
307.299988,300.5,4131100,-26.39
305.269989,301.769989,2899500,-38.60
305.559998,300.25,2736400,-53.55
305.619995,300.01001,3656200,-41.73
305.779999,302.01001,3652200,-21.97
306.149994,303.410004,4736800,-63.56
305.619995,302.079987,3397200,-74.15
308.100006,301.450012,3152100,-46.45
312.660004,308.5,4493000,10.77
317.290009,312.429993,4889800,4.62
316.5,310.230011,3609700,-12.56
312.679993,309.25,2701600,-20.43
313.179993,303.940002,3929500,-54.11
306.720001,301.920013,5294800,-69.34
306.589996,300.76001,4993000,-38.92
307.549988,301.679993,5251500,-28.13
300.549988,294.899994,7162800,-58.43
304.429993,295.359985,6325700,-35.22
301.299988,292.420013,15609400,-55.52
301.51001,295.059998,6056000,-48.33
305.630005,302.25,4724000,-12.51
307.049988,299.649994,3086300,-36.55
302.079987,296.299988,4015800,-117.71
299.5,293.390015,3905400,-178.77
303.209991,298.970001,3833900,-123.53
302.720001,300.589996,2436500,-98.24
305.380005,303.359985,2650000,-43.06
307.470001,302.579987,2694000,-7.11
308.809998,304.98999,5020200,8.46
311.5,308.23999,4862300,15.18
311,307.070007,2740300,45.44
311.070007,307.850006,2314500,27.44
313.220001,309.049988,3131400,55.71
313.700012,310.329987,2330900,53.95
315.940002,311.769989,3109500,42.68
316.920013,313.720001,2662600,65.36
318.809998,313.26001,3323300,116.66
321.880005,318.119995,2975400,183.12
323.980011,319,3425500,161.90
325.720001,322.5,3581200,175.20
324.549988,322.76001,2406200,158.00
324.369995,321.320007,2428400,142.24
324.850006,321.609985,2405700,135.75
326.399994,324.299988,2261900,135.59
327.100006,324.109985,2552200,146.28
323.73999,319,2718600,89.31
326.910004,322.109985,2950000,109.87
328.809998,325.190002,2909600,122.91
331.839996,328.570007,2461300,135.70
330.25,322.76001,3366500,64.33
328.070007,323.059998,2653800,43.12
325.98999,317.410004,3185600,-67.03
325.160004,322.619995,3869500,-72.23
330.690002,325.790009,3302400,-42.95
326.880005,323.480011,2283400,-73.08
326.160004,320.149994,2639800,-98.75
322.959991,319.809998,2548900,-118.07
324.23999,320.540009,1937300,-118.42
323.829987,320.130005,2190000,-125.50
324.690002,322.359985,2139500,-60.74
328.26001,324.820007,3046800,-72.92
329.980011,325.850006,2805000,-80.59
333.940002,329.119995,4322900,-82.21
331.48999,328.350006,2762500,-36.49
329.269989,322.970001,4029300,-66.25
323,319.559998,3071500,-30.61
320.559998,317.709991,4245400,-51.17
322.630005,319.670013,3229400,-84.08
322.470001,319,3231800,-54.71
322.410004,319.390015,6175000,-21.21
323.220001,319.529999,3375300,-1.87
330.670013,324.420013,3962200,53.94
330.890015,327.570007,3091800,71.81
334.160004,328.679993,3181400,86.73
335.820007,331.429993,3727800,80.97
336.320007,334.100006,2759300,75.61
337.589996,334.920013,2619200,54.43
335.350006,332.220001,2873400,48.29
336.619995,332.200012,2953000,97.41
340.380005,334.089996,5164600,160.70
341.679993,335.540009,4095200,185.71
341.299988,337.660004,8486200,175.19
339.279999,336.619995,3751700,170.62
341.350006,336.369995,4507000,177.23
338.850006,335.660004,3303300,162.45
337.470001,334.190002,4451700,85.43
335.829987,331.839996,3220900,54.85
336.730011,334.369995,2625600,38.92
336.399994,332.609985,3175100,11.46
337.01001,334.140015,2498900,11.13
342.5,338.399994,4520600,35.10
342.079987,338.410004,2047400,51.69
341.890015,338.700012,2870700,45.41
341.799988,338.910004,2548300,21.32
344.070007,340.390015,2940800,23.35
343.480011,339.869995,2966500,15.86
343.839996,340.929993,2754900,28.97
346.440002,344.309998,2897100,37.49
346.209991,343.450012,2831800,44.77
345,340.51001,2669300,27.34
345.720001,341.089996,2359500,54.10
