High,Low,Close,Volume,Mfi
318.600006,308.700012,318.600006,7919700,0.00
319.559998,313.299988,315.839996,4351600,0.00
316.380005,312.75,316.149994,3025700,0.00
315.660004,308.730011,310.570007,3835800,0.00
310.290009,306.350006,307.779999,3877400,0.00
309.380005,304.920013,305.820007,4130800,0.00
307.48999,305.089996,305.98999,2351700,0.00
308.339996,304.709991,306.390015,3326000,0.00
311.910004,305.459991,311.450012,4366700,0.00
318.910004,310.820007,312.329987,5042800,0.00
316.359985,308.399994,309.290009,4056900,0.00
306.959991,299.450012,301.910004,5103900,0.00
302.470001,297.76001,300,8305700,0.00
301.480011,297.149994,300.029999,3842200,0.00
304.190002,297,302,3090700,34.70
308.540009,304.160004,307.820007,3264600,33.32
306.5,297.640015,302.690002,3560100,33.09
306.570007,300.929993,306.48999,2460400,38.26
308.579987,304.649994,305.549988,2730900,43.99
307.459991,303.26001,303.429993,2628200,45.23
309.380005,305.23999,309.059998,2846200,50.06
309.040009,305.619995,308.899994,3298300,43.96
312.390015,307.380005,309.910004,3549900,43.10
316.890015,311.25,314.549988,5121200,43.19
314.230011,310,312.899994,3416300,43.71
320.160004,313.380005,318.690002,3647900,52.08
320.5,314.75,315.529999,4397400,55.95
316.799988,313.339996,316.350006,3049100,56.68
320.570007,316.600006,320.369995,2999500,56.76
321.320007,317.720001,318.929993,3070300,56.69
318.420013,315.790009,317.640015,2773000,57.47
318.519989,314.25,314.859985,3478900,51.02
315.540009,307.75,308.299988,3406000,44.67
307.23999,303.859985,305.230011,3614600,43.78
310.01001,304.359985,309.869995,3770100,44.81
312.730011,306.850006,310.420013,3086700,51.16
312.829987,307.5,311.299988,2234300,49.85
312.549988,307.709991,311.899994,2299800,46.68
313.679993,309.579987,310.950012,2856600,53.63
311.730011,308.339996,309.170013,3031200,46.08
309.51001,306.809998,307.329987,3474600,47.19
311.859985,305.790009,311.519989,3653400,54.90
312.670013,306.380005,310.570007,3518300,55.34
312.600006,308.299988,311.859985,4421400,56.58
311.549988,305.920013,308.51001,5385700,53.62
308.799988,305.600006,308.429993,2973100,54.29
314.149994,306.630005,312.970001,3786700,61.77
313.410004,308.01001,308.480011,3370000,62.01
311.420013,306.98999,307.209991,3461200,54.52
309.980011,305.279999,309.890015,2808000,48.32
313.73999,309.619995,313.73999,3261500,49.45
314.100006,309.040009,310.790009,2907100,44.11
310.369995,308.279999,309.630005,2410700,38.60
310.200012,306.869995,308.179993,2801700,38.80
308.410004,305.480011,308.23999,2720500,39.41
307.299988,300.5,302.720001,4131100,31.45
305.269989,301.769989,303.160004,2899500,24.45
305.559998,300.25,303.070007,2736400,15.62
305.619995,300.01001,304.019989,3656200,24.47
305.779999,302.01001,304.660004,3652200,32.22
306.149994,303.410004,305.179993,4736800,33.51
305.619995,302.079987,304.619995,3397200,33.53
308.100006,301.450012,307.75,3152100,40.74
312.660004,308.5,312.450012,4493000,48.95
317.290009,312.429993,316.970001,4889800,50.74
316.5,310.230011,311.119995,3609700,49.99
312.679993,309.25,311.369995,2701600,49.68
313.179993,303.940002,304.820007,3929500,48.59
306.720001,301.920013,303.630005,5294800,46.29
306.589996,300.76001,302.880005,4993000,45.56
307.549988,301.679993,305.329987,5251500,52.90
300.549988,294.899994,297.880005,7162800,49.20
304.429993,295.359985,302.01001,6325700,51.27
301.299988,292.420013,293.51001,15609400,38.59
301.51001,295.059998,301.059998,6056000,39.56
305.630005,302.25,303.850006,4724000,44.95
307.049988,299.649994,299.730011,3086300,40.94
302.079987,296.299988,298.369995,4015800,35.32
299.5,293.390015,298.920013,3905400,29.23
303.209991,298.970001,302.140015,3833900,34.19
302.720001,300.589996,302.320007,2436500,37.54
305.380005,303.359985,305.299988,2650000,41.78
307.470001,302.579987,305.079987,2694000,47.05
308.809998,304.98999,308.769989,5020200,54.05
311.5,308.23999,310.309998,4862300,53.85
311,307.070007,309.070007,2740300,57.24
311.070007,307.850006,310.390015,2314500,54.61
313.220001,309.049988,312.51001,3131400,73.55
313.700012,310.329987,312.619995,2330900,71.58
315.940002,311.769989,313.700012,3109500,70.65
316.920013,313.720001,314.549988,2662600,77.11
318.809998,313.26001,318.049988,3323300,85.52
321.880005,318.119995,319.73999,2975400,93.80
323.980011,319,323.790009,3425500,93.78
325.720001,322.5,324.630005,3581200,93.96
324.549988,322.76001,323.089996,2406200,88.39
324.369995,321.320007,323.820007,2428400,82.74
324.850006,321.609985,324.329987,2405700,81.74
326.399994,324.299988,326.049988,2261900,80.61
327.100006,324.109985,324.339996,2552200,80.72
323.73999,319,320.529999,2718600,74.01
326.910004,322.109985,326.230011,2950000,73.98
328.809998,325.190002,328.549988,2909600,74.44
331.839996,328.570007,330.170013,2461300,74.11
330.25,322.76001,325.859985,3366500,66.10
328.070007,323.059998,323.220001,2653800,58.79
325.98999,317.410004,320,3185600,51.00
325.160004,322.619995,323.880005,3869500,51.57
330.690002,325.790009,326.140015,3302400,51.27
326.880005,323.480011,324.869995,2283400,51.41
326.160004,320.149994,322.98999,2639800,51.14
322.959991,319.809998,322.640015,2548900,44.94
324.23999,320.540009,322.48999,1937300,44.46
323.829987,320.130005,323.529999,2190000,50.47
324.690002,322.359985,323.75,2139500,56.75
328.26001,324.820007,327.390015,3046800,56.87
329.980011,325.850006,329.76001,2805000,56.76
333.940002,329.119995,330.390015,4322900,58.81
